date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,rv_model_weather_coeff
2021-02-07T00:00:00,2459252.5,-18.008,-15.854,0.071,2.154,1.526,0,1.526,8.488,0.071,0,1.517,0.01,1.517,0.01,0,7.556,64.28,103.301,0.05,103.301,0.012,0.013,0.013,-642.9328787000001
2021-02-07T00:00:45,2459252.501,-19.116,-16.984,0.072,2.132,1.525,0,1.525,8.489,0.072,0,1.515,0.01,1.515,0.01,0,7.559,64.27,102.506,0.028,102.506,0.012,0.012,0.012,-642.9630864000001
2021-02-07T00:01:30,2459252.501,-19.48,-17.316,0.073,2.164,1.524,0,1.524,8.495,0.073,0,1.514,0.01,1.514,0.01,0,7.564,64.357,103.238,0.029,103.238,0.011,0.011,0.011,-642.9164521
2021-02-07T00:02:15,2459252.502,-19.487,-17.233,0.072,2.254,1.531,0,1.531,8.507,0.072,0,1.521,0.01,1.521,0.01,0,7.573,64.294,104.815,0.033,104.815,0.013,0.013,0.013,-642.7894804
2021-02-07T00:03:00,2459252.502,-18.314,-15.997,0.072,2.317,1.537,0,1.537,8.501,0.072,0,1.527,0.01,1.527,0.01,0,7.563,64.286,104.73,0.048,104.73,0.015,0.016,0.016,-642.6998314
2021-02-07T00:03:45,2459252.503,-17.493,-15.19,0.073,2.303,1.534,0,1.534,8.503,0.073,0,1.525,0.01,1.525,0.01,0,7.566,64.297,105.457,0.049,105.457,0.02,0.02,0.02,-642.7186551
2021-02-07T00:04:30,2459252.503,-17.062,-14.798,0.072,2.265,1.531,0,1.531,8.501,0.072,0,1.521,0.01,1.521,0.01,0,7.565,64.351,101.696,0.037,101.696,0.023,0.023,0.023,-642.7738274000001
2021-02-07T00:05:15,2459252.504,-17.424,-15.221,0.072,2.203,1.535,0,1.535,8.495,0.072,0,1.525,0.01,1.525,0.01,0,7.559,64.147,103.267,0.013,103.267,0.021,0.022,0.022,-642.8620534
2021-02-07T00:06:00,2459252.504,-18.115,-15.95,0.069,2.165,1.53,0,1.53,8.505,0.069,0,1.52,0.009,1.52,0.009,0,7.572,64.22,103.347,0.027,103.286,0.019,0.019,0.019,-642.9194223000001
2021-02-07T00:06:45,2459252.505,-18.952,-16.758,0.068,2.194,1.538,0,1.538,8.594,0.068,0,1.528,0.01,1.528,0.01,0,7.658,64.191,102.307,0.04,102.307,0.014,0.014,0.014,-642.8792536
2021-02-07T00:07:30,2459252.505,-18.62,-16.377,0.07,2.243,1.542,0,1.542,8.634,0.07,0,1.532,0.01,1.532,0.01,0,7.697,64.191,100.449,0.054,100.449,0.009,0.01,0.01,-642.80733
2021-02-07T00:08:15,2459252.506,-18.256,-15.955,0.072,2.302,1.535,0,1.535,8.553,0.072,0,1.525,0.01,1.525,0.01,0,7.616,64.321,101.566,0.069,101.566,0.011,0.011,0.011,-642.7211764
2021-02-07T00:09:00,2459252.506,-17.295,-14.932,0.07,2.363,1.525,0,1.525,8.53,0.07,0,1.511,0.014,1.511,0.014,0,7.598,64.413,100.563,0.052,100.563,0.02,0.02,0.02,-642.63657
2021-02-07T00:09:45,2459252.507,-17.086,-14.751,0.07,2.335,1.523,0,1.523,8.511,0.07,0,1.514,0.01,1.514,0.01,0,7.579,64.404,102.806,0.061,102.806,0.021,0.021,0.021,-642.676414
2021-02-07T00:10:30,2459252.507,-17.343,-15.077,0.071,2.265,1.518,0,1.518,8.494,0.071,0,1.504,0.014,1.504,0.014,0,7.565,64.422,102.593,-0.031,102.207,0.028,0.028,0.028,-642.7749257
2021-02-07T00:11:15,2459252.508,-18.257,-16.005,0.071,2.252,1.531,0,1.531,8.519,0.071,0,1.517,0.014,1.517,0.014,0,7.585,64.299,102.556,-0.003,102.556,0.03,0.03,0.03,-642.7934247000001
2021-02-07T00:12:00,2459252.508,-17.896,-15.667,0.069,2.23,1.533,0,1.533,8.52,0.069,0,1.519,0.014,1.519,0.014,0,7.585,64.269,102.749,0.041,102.572,0.023,0.023,0.023,-642.8269273
2021-02-07T00:12:45,2459252.509,-17.395,-15.094,0.072,2.301,1.527,0,1.527,8.522,0.072,0,1.513,0.014,1.513,0.014,0,7.588,64.386,101.35,0.027,101.247,0.018,0.018,0.018,-642.7225994
2021-02-07T00:13:30,2459252.509,-16.209,-13.88,0.07,2.329,1.519,0,1.519,8.526,0.07,0,1.506,0.014,1.506,0.014,0,7.594,64.553,102.372,0.0,102.372,0.017,0.017,0.017,-642.6849520000001
2021-02-07T00:14:15,2459252.51,-16.559,-14.232,0.073,2.327,1.528,0,1.528,8.531,0.073,0,1.51,0.017,1.51,0.017,0,7.598,64.402,102.995,0.006,100.185,0.031,0.031,0.031,-642.6845031
