filename,date_obs,date_jd,rv_sun,rv_error
neidL2_20210207T222937.fits,2/7/21 22:29,2459253.433,-0.6634,2.00E-04
neidL2_20210207T222804.fits,2/7/21 22:28,2459253.432,-0.665,2.00E-04
neidL2_20210207T222631.fits,2/7/21 22:26,2459253.431,-0.664,2.00E-04
neidL2_20210207T222457.fits,2/7/21 22:24,2459253.429,-0.6628,2.00E-04
neidL2_20210207T222324.fits,2/7/21 22:23,2459253.428,-0.6648,2.00E-04
neidL2_20210207T222150.fits,2/7/21 22:21,2459253.427,-0.664,2.00E-04
neidL2_20210207T222017.fits,2/7/21 22:20,2459253.426,-0.6634,2.00E-04
neidL2_20210207T221843.fits,2/7/21 22:18,2459253.425,-0.6506,3.00E-04
neidL2_20210207T221710.fits,2/7/21 22:17,2459253.424,-0.671,3.00E-04
neidL2_20210207T221536.fits,2/7/21 22:15,2459253.423,-0.6621,3.00E-04
neidL2_20210207T221402.fits,2/7/21 22:14,2459253.422,-0.6423,4.00E-04
neidL2_20210207T221229.fits,2/7/21 22:12,2459253.421,-0.6679,4.00E-04
neidL2_20210207T221055.fits,2/7/21 22:10,2459253.42,-0.6721,3.00E-04
neidL2_20210207T220921.fits,2/7/21 22:09,2459253.419,-0.6846,3.00E-04
neidL2_20210207T220748.fits,2/7/21 22:07,2459253.417,-0.6745,3.00E-04
neidL2_20210207T220615.fits,2/7/21 22:06,2459253.416,-0.6614,2.00E-04
neidL2_20210207T220442.fits,2/7/21 22:04,2459253.415,-0.6643,2.00E-04
neidL2_20210207T220308.fits,2/7/21 22:03,2459253.414,-0.6642,2.00E-04
neidL2_20210207T220135.fits,2/7/21 22:01,2459253.413,-0.6626,2.00E-04
neidL2_20210207T220002.fits,2/7/21 22:00,2459253.412,-0.6634,2.00E-04
neidL2_20210207T215829.fits,2/7/21 21:58,2459253.411,-0.664,2.00E-04
neidL2_20210207T215656.fits,2/7/21 21:56,2459253.41,-0.6637,2.00E-04
neidL2_20210207T215522.fits,2/7/21 21:55,2459253.409,-0.6634,2.00E-04
neidL2_20210207T215349.fits,2/7/21 21:53,2459253.408,-0.6629,2.00E-04
neidL2_20210207T215215.fits,2/7/21 21:52,2459253.407,-0.6637,2.00E-04
neidL2_20210207T215042.fits,2/7/21 21:50,2459253.406,-0.6648,2.00E-04
neidL2_20210207T214908.fits,2/7/21 21:49,2459253.405,-0.6617,2.00E-04
neidL2_20210207T214735.fits,2/7/21 21:47,2459253.403,-0.6617,2.00E-04
neidL2_20210207T214601.fits,2/7/21 21:46,2459253.402,-0.6645,2.00E-04
neidL2_20210207T214427.fits,2/7/21 21:44,2459253.401,-0.6632,2.00E-04
neidL2_20210207T214253.fits,2/7/21 21:42,2459253.4,-0.6611,2.00E-04
neidL2_20210207T214120.fits,2/7/21 21:41,2459253.399,-0.6642,2.00E-04
neidL2_20210207T213946.fits,2/7/21 21:39,2459253.398,-0.6635,2.00E-04
neidL2_20210207T213812.fits,2/7/21 21:38,2459253.397,-0.6626,2.00E-04
neidL2_20210207T213639.fits,2/7/21 21:36,2459253.396,-0.6631,2.00E-04
neidL2_20210207T213506.fits,2/7/21 21:35,2459253.395,-0.6639,2.00E-04
neidL2_20210207T213333.fits,2/7/21 21:33,2459253.394,-0.6634,2.00E-04
neidL2_20210207T213159.fits,2/7/21 21:31,2459253.393,-0.6633,2.00E-04
neidL2_20210207T213025.fits,2/7/21 21:30,2459253.392,-0.6635,2.00E-04
neidL2_20210207T212852.fits,2/7/21 21:28,2459253.39,-0.6634,2.00E-04
neidL2_20210207T212718.fits,2/7/21 21:27,2459253.389,-0.6638,2.00E-04
neidL2_20210207T212544.fits,2/7/21 21:25,2459253.388,-0.6641,2.00E-04
neidL2_20210207T212411.fits,2/7/21 21:24,2459253.387,-0.6628,2.00E-04
neidL2_20210207T212238.fits,2/7/21 21:22,2459253.386,-0.6636,2.00E-04
neidL2_20210207T211947.fits,2/7/21 21:19,2459253.384,-0.6629,2.00E-04
neidL2_20210207T211814.fits,2/7/21 21:18,2459253.383,-0.6626,2.00E-04
neidL2_20210207T211641.fits,2/7/21 21:16,2459253.382,-0.6628,2.00E-04
neidL2_20210207T211507.fits,2/7/21 21:15,2459253.381,-0.6631,2.00E-04
neidL2_20210207T211334.fits,2/7/21 21:13,2459253.38,-0.6619,2.00E-04
neidL2_20210207T211200.fits,2/7/21 21:12,2459253.379,-0.6635,2.00E-04
neidL2_20210207T211027.fits,2/7/21 21:10,2459253.378,-0.664,2.00E-04
neidL2_20210207T210853.fits,2/7/21 21:08,2459253.377,-0.6621,2.00E-04
neidL2_20210207T210720.fits,2/7/21 21:07,2459253.376,-0.6628,2.00E-04
neidL2_20210207T210547.fits,2/7/21 21:05,2459253.374,-0.6639,2.00E-04
neidL2_20210207T210413.fits,2/7/21 21:04,2459253.373,-0.6631,2.00E-04
neidL2_20210207T210240.fits,2/7/21 21:02,2459253.372,-0.6627,2.00E-04
neidL2_20210207T210106.fits,2/7/21 21:01,2459253.371,-0.6626,2.00E-04
neidL2_20210207T205933.fits,2/7/21 20:59,2459253.37,-0.6635,2.00E-04
neidL2_20210207T205800.fits,2/7/21 20:58,2459253.369,-0.6638,2.00E-04
neidL2_20210207T205626.fits,2/7/21 20:56,2459253.368,-0.6617,2.00E-04
neidL2_20210207T205452.fits,2/7/21 20:54,2459253.367,-0.6629,2.00E-04
neidL2_20210207T205319.fits,2/7/21 20:53,2459253.366,-0.6646,2.00E-04
neidL2_20210207T205146.fits,2/7/21 20:51,2459253.365,-0.6624,2.00E-04
neidL2_20210207T205012.fits,2/7/21 20:50,2459253.364,-0.6622,2.00E-04
neidL2_20210207T204840.fits,2/7/21 20:48,2459253.363,-0.663,2.00E-04
neidL2_20210207T204706.fits,2/7/21 20:47,2459253.361,-0.6621,2.00E-04
neidL2_20210207T204532.fits,2/7/21 20:45,2459253.36,-0.6614,2.00E-04
neidL2_20210207T204359.fits,2/7/21 20:43,2459253.359,-0.6625,2.00E-04
neidL2_20210207T204225.fits,2/7/21 20:42,2459253.358,-0.6626,2.00E-04
neidL2_20210207T204052.fits,2/7/21 20:40,2459253.357,-0.6612,2.00E-04
neidL2_20210207T203918.fits,2/7/21 20:39,2459253.356,-0.661,2.00E-04
neidL2_20210207T203745.fits,2/7/21 20:37,2459253.355,-0.6625,2.00E-04
neidL2_20210207T203611.fits,2/7/21 20:36,2459253.354,-0.6624,2.00E-04
neidL2_20210207T203438.fits,2/7/21 20:34,2459253.353,-0.6619,2.00E-04
