date_obs,date_jd,f,f_spot,f_bright,rv_sun,rv_model,Bobs
2020-12-22T12:00:00,2459206.0,2.206,0.005,2.201,-639.8,106.40905,9.074
2020-12-23T12:00:00,2459207.0,2.299,0.008,2.29,-638.9,106.49393,9.16
2020-12-25T12:00:00,2459209.0,2.658,0.015,2.642,-639.0,108.00648,9.829
2020-12-27T12:00:00,2459211.0,2.794,0.018,2.776,-639.1,108.46394,10.199
2021-01-01T12:00:00,2459216.0,2.344,0.003,2.341,-638.9,106.53487,9.218
2021-01-16T12:00:00,2459231.0,1.895,0.001,1.894,-640.0,105.93366,8.682
2021-01-20T12:00:00,2459235.0,2.11,0.003,2.107,-638.3,106.08538,8.927
2021-01-23T12:00:00,2459238.0,2.41,0.003,2.407,-639.6,107.26339,9.372
2021-02-22T12:00:00,2459268.0,2.144,0.002,2.142,-639.9,106.30679,8.878
2021-02-23T12:00:00,2459269.0,2.25,0.005,2.246,-639.9,106.58778,9.227
2021-02-24T12:00:00,2459270.0,2.243,0.005,2.238,-639.0,106.34469,9.245
2021-02-25T12:00:00,2459271.0,2.279,0.008,2.271,-639.3,105.94326,9.175
2021-02-27T12:00:00,2459273.0,1.971,0.003,1.968,-639.8,105.63261,8.696
2021-03-03T12:00:00,2459277.0,1.856,0.002,1.854,-639.7,106.00394,8.656
2021-03-04T12:00:00,2459278.0,1.905,0.001,1.904,-639.7,106.10573,8.705
2021-03-07T12:00:00,2459281.0,1.821,0.002,1.819,-640.4,105.57733,8.523
2021-03-10T12:01:26,2459284.001,1.761,0.001,1.761,-640.6,105.71576,8.419
2021-03-11T12:00:00,2459285.0,1.848,0.001,1.848,-639.5,105.73692,8.486
2021-03-12T12:00:00,2459286.0,1.905,0.001,1.904,-639.35,105.80439,8.564
2021-03-14T12:00:00,2459288.0,1.971,0.001,1.97,-639.4,106.19401,8.708
2021-03-23T12:00:00,2459297.0,2.168,0.001,2.167,-638.9,106.17984,8.836
2021-03-25T12:00:00,2459299.0,2.169,0.003,2.166,-640.1,106.50146,8.849
2021-03-26T12:00:00,2459300.0,2.079,0.002,2.077,-640.5,106.35022,8.79
2021-03-27T12:00:00,2459301.0,2.044,0.001,2.043,-640.0,106.16559,8.751
2021-03-28T12:01:26,2459302.001,2.019,0.001,2.018,-639.4,106.10725,8.678
2021-04-04T12:00:00,2459309.0,1.719,0.001,1.719,-640.95,105.4765,8.205
2021-04-13T12:00:00,2459318.0,1.96,0.001,1.959,-639.9,106.22549,8.579
2021-04-14T12:00:00,2459319.0,2.017,0.001,2.016,-638.75,106.27318,8.693
2021-04-18T12:00:00,2459323.0,2.068,0.002,2.066,-639.8,106.25415,8.671
2021-04-19T12:00:00,2459324.0,2.17,0.005,2.165,-640.4,106.64856,8.922
2021-04-21T12:00:00,2459326.0,2.177,0.004,2.174,-639.5,106.44646,8.956
2021-04-23T12:00:00,2459328.0,2.162,0.003,2.16,-639.5,106.46607,8.931
2021-04-28T12:00:00,2459333.0,2.053,0.003,2.05,-639.1,105.58415,8.829
2021-04-29T12:00:00,2459334.0,1.949,0.002,1.947,-640.45,105.73595,8.552
2021-05-10T12:00:00,2459345.0,2.139,0.007,2.132,-640.3,106.57703,8.831
2021-05-11T12:00:00,2459346.0,2.189,0.007,2.181,-640.6,106.80842,8.951
2021-05-12T12:00:00,2459347.0,2.192,0.006,2.186,-640.15,106.80561,9.015
2021-05-13T12:00:00,2459348.0,2.187,0.005,2.182,-640.6,106.54204,8.995
2021-05-14T12:00:00,2459349.0,2.158,0.003,2.155,-640.1,106.36135,8.901
2021-05-16T12:00:00,2459351.0,2.076,0.002,2.074,-640.9,106.0264,8.705
2021-05-17T12:00:00,2459352.0,2.045,0.001,2.044,-641.1,106.08713,8.579
2021-05-19T12:00:00,2459354.0,2.091,0.004,2.087,-641.1,106.10068,8.686
2021-05-20T12:00:00,2459355.0,2.21,0.005,2.205,-640.1,106.29254,8.812
2021-05-21T12:00:00,2459356.0,2.301,0.007,2.294,-639.3,106.92426,9.088
2021-05-26T12:00:00,2459361.0,2.412,0.013,2.399,-639.5,105.48917,9.453
2021-05-27T12:00:00,2459362.0,2.21,0.009,2.201,-639.5,105.39281,9.048
2021-05-27T12:00:00,2459362.0,2.21,0.009,2.201,-640.0,105.39281,9.048
2021-05-31T12:00:00,2459366.0,1.872,0.002,1.869,-640.8,105.93104,8.541
2021-06-01T12:00:00,2459367.0,1.944,0.004,1.94,-640.8,106.25706,8.675
2021-06-02T12:00:00,2459368.0,2.025,0.005,2.02,-640.4,106.03525,8.79
2021-06-03T12:00:00,2459369.0,2.16,0.005,2.156,-640.9,106.17093,9.015
2021-06-05T12:00:00,2459371.0,2.228,0.004,2.224,-638.9,106.23723,9.036
2021-06-06T12:00:00,2459372.0,2.257,0.002,2.255,-639.05,106.44564,9.044
2021-06-08T12:00:00,2459374.0,2.206,0.002,2.204,-640.35,106.54623,9.042
2021-06-09T12:00:00,2459375.0,2.167,0.001,2.166,-640.8,106.31443,8.93
2021-06-14T12:00:00,2459380.0,2.2,0.003,2.197,-640.75,106.40721,8.819
2021-06-18T12:00:00,2459384.0,2.525,0.007,2.518,-639.7,107.26854,9.389
2021-06-20T12:00:00,2459386.0,2.41,0.008,2.403,-639.5,106.55621,9.277
2021-06-21T12:00:00,2459387.0,2.283,0.006,2.277,-640.5,106.21808,9.03
2021-06-24T12:00:00,2459390.0,1.945,0.002,1.943,-641.8,105.25066,8.544
2021-06-26T12:00:00,2459392.0,2.419,0.003,2.416,-640.5,106.51736,9.194
2021-06-27T12:00:00,2459393.0,2.667,0.007,2.66,-639.85,107.85458,9.696
2021-06-29T12:00:00,2459395.0,3.122,0.018,3.103,-638.65,109.10449,10.743
2021-06-30T12:00:00,2459396.0,3.247,0.026,3.221,-638.9,108.79056,11.034
