date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_dark,rv_model
2016-05-04T00:00:00,2457512.5,-25.545,-21.518,0.108,4.027,2.914,0.002,2.916,9.939,0.115,-0.007,101.2634355
2016-05-04T01:00:00,2457512.542,-24.797,-20.871,0.098,3.925,2.895,0.002,2.897,9.924,0.106,-0.007,101.1422105
2016-05-04T06:00:00,2457512.75,-28.354,-23.881,0.066,4.473,2.952,0.001,2.954,10.219,0.071,-0.005,101.6133885
2016-05-04T07:00:00,2457512.792,-27.011,-22.635,0.069,4.376,2.91,0.001,2.911,9.553,0.074,-0.005,101.524389
2016-05-04T08:00:00,2457512.833,-27.308,-23.08,0.047,4.228,2.893,0.002,2.895,9.498,0.053,-0.005,101.332757
2016-05-04T12:00:00,2457513.0,-22.782,-18.439,0.009,4.343,2.883,0.001,2.885,9.457,0.014,-0.004,101.3659065
2016-05-04T16:00:00,2457513.167,-27.456,-22.929,0.038,4.527,2.86,0.001,2.861,9.557,0.04,-0.002,101.6076155
2016-05-04T17:00:00,2457513.208,-27.224,-22.567,0.058,4.657,2.844,0.001,2.845,9.504,0.061,-0.003,101.7773605
2016-05-04T18:00:00,2457513.25,-29.236,-24.583,0.065,4.653,2.871,0.001,2.872,10.105,0.066,-0.001,101.7881375
2016-05-04T21:00:00,2457513.375,-25.689,-21.444,0.102,4.245,2.787,0.002,2.789,9.597,0.101,0.001,101.4650145
2016-05-05T00:00:00,2457513.5,-23.336,-19.523,0.131,3.813,2.754,0.003,2.757,9.761,0.128,0.003,101.10150349999999
2016-05-05T07:00:00,2457513.792,-25.121,-20.569,0.11,4.552,2.816,0.004,2.821,9.456,0.105,0.006,101.78345
2016-05-05T08:00:00,2457513.833,-27.321,-22.55,0.103,4.771,2.821,0.004,2.826,9.409,0.095,0.008,101.9839105
2016-05-05T09:00:00,2457513.875,-25.183,-20.455,0.082,4.729,2.832,0.004,2.836,9.392,0.074,0.008,101.8985245
2016-05-05T12:00:00,2457514.0,-20.112,-15.227,0.082,4.885,2.794,0.005,2.799,9.35,0.07,0.011,102.0517945
2016-05-05T00:00:00,2457513.5,-23.336,-19.523,0.131,3.813,2.754,0.003,2.757,9.761,0.128,0.003,101.10150349999999
