date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,rv_model
2019-11-11T11:32:00,2458798.981,-27.107,-24.224,0.003,2.882,1.487,0.0,1.487,8.053,0.003,0.0,105.19698000000001
2019-11-11T11:34:00,2458798.982,-25.336,-22.424,0.013,2.912,1.494,0.0,1.494,8.074,0.013,0.0,105.24728
2019-11-11T11:36:00,2458798.983,-26.912,-23.985,0.012,2.927,1.501,0.0,1.501,8.065,0.012,0.0,105.25899000000001
2019-11-11T11:38:00,2458798.985,-26.061,-23.172,0.02,2.889,1.491,0.0,1.491,8.058,0.02,0.0,105.24157000000001
2019-11-11T11:40:00,2458798.986,-25.863,-22.956,0.013,2.907,1.488,0.0,1.488,8.06,0.013,0.0,105.24263
2019-11-11T11:44:00,2458798.989,-25.2,-22.267,0.014,2.933,1.5,0.0,1.5,8.068,0.014,0.0,105.26905000000001
2019-11-11T11:46:00,2458798.99,-25.693,-22.771,0.021,2.921,1.486,0.0,1.486,8.047,0.021,0.0,105.27357
2019-11-11T11:48:00,2458798.992,-26.368,-23.384,0.021,2.984,1.487,0.0,1.487,8.068,0.021,0.0,105.33216
2019-11-11T11:50:00,2458798.993,-25.974,-22.964,0.017,3.01,1.492,0.0,1.492,8.057,0.017,0.0,105.34738
2019-11-11T11:52:00,2458798.994,-25.608,-22.719,0.014,2.889,1.49,0.0,1.49,8.063,0.014,0.0,105.22813000000001
2019-11-11T11:54:00,2458798.996,-27.157,-24.267,0.016,2.891,1.482,0.0,1.482,8.06,0.016,0.0,105.23447
2019-11-11T11:56:00,2458798.997,-24.889,-21.986,0.016,2.903,1.484,0.0,1.484,8.063,0.016,0.0,105.24563
2019-11-11T11:58:00,2458798.999,-26.352,-23.495,0.011,2.857,1.485,0.0,1.485,8.071,0.011,0.0,105.19165000000001
2019-11-11T12:00:00,2458799.0,-26.671,-23.718,0.011,2.954,1.485,0.0,1.485,8.075,0.011,0.0,105.28186000000001
2019-11-11T12:02:00,2458799.001,-24.788,-21.94,0.013,2.848,1.487,0.0,1.487,8.057,0.013,0.0,105.18776000000001
2019-11-11T12:04:00,2458799.003,-25.551,-22.485,0.015,3.067,1.486,0.0,1.486,8.069,0.015,0.0,105.39591
2019-11-11T12:06:00,2458799.004,-23.842,-20.907,0.009,2.935,1.486,0.0,1.486,8.068,0.009,0.0,105.25971000000001
2019-11-11T12:08:00,2458799.006,-26.239,-23.339,0.011,2.9,1.486,0.0,1.486,8.052,0.011,0.0,105.23164
2019-11-11T12:10:00,2458799.007,-25.319,-22.383,0.015,2.936,1.484,0.0,1.484,8.06,0.015,0.0,105.27408
2019-11-11T12:12:00,2458799.008,-24.994,-21.99,0.01,3.005,1.485,0.0,1.485,8.056,0.01,0.0,105.32705
2019-11-11T12:14:00,2458799.01,-25.641,-22.709,0.003,2.932,1.486,0.0,1.486,8.071,0.003,0.0,105.24348
2019-11-11T12:16:00,2458799.011,-27.614,-24.661,0.01,2.953,1.489,0.0,1.489,8.062,0.01,0.0,105.27869000000001
2019-11-11T12:18:00,2458799.013,-24.898,-21.967,0.01,2.931,1.498,0.0,1.498,8.068,0.01,0.0,105.25823000000001
2019-11-11T12:20:00,2458799.014,-25.904,-22.858,0.014,3.046,1.5,0.0,1.5,8.08,0.014,0.0,105.37414000000001
2019-11-11T12:22:00,2458799.015,-27.481,-24.461,0.016,3.02,1.491,0.0,1.491,8.063,0.016,0.0,105.35444000000001
2019-11-11T12:24:00,2458799.017,-24.651,-21.746,0.019,2.905,1.494,0.0,1.494,8.074,0.019,0.0,105.25421
2019-11-11T12:26:00,2458799.018,-25.36,-22.375,0.021,2.985,1.496,0.0,1.496,8.076,0.021,0.0,105.33309
2019-11-11T12:28:00,2458799.019,-26.625,-23.673,0.02,2.953,1.496,0.0,1.496,8.064,0.02,0.0,105.30109
2019-11-11T12:30:00,2458799.021,-24.435,-21.476,0.016,2.959,1.49,0.0,1.49,8.074,0.016,0.0,105.29771000000001
2019-11-11T12:32:00,2458799.022,-25.785,-22.775,0.014,3.011,1.499,0.0,1.499,8.067,0.014,0.0,105.34159000000001
2019-11-11T12:34:00,2458799.024,-25.646,-22.681,0.011,2.965,1.501,0.0,1.501,8.076,0.011,0.0,105.29209
2019-11-11T12:36:00,2458799.025,-27.08,-23.857,0.011,3.224,1.707,0.0,,,0.011,0.0,105.53296
2019-11-11T12:38:00,2458799.026,-29.888,-26.941,0.013,2.948,1.492,0.0,1.492,8.098,0.013,0.0,105.28076
2019-11-11T12:40:00,2458799.028,-26.187,-23.179,0.016,3.009,1.496,0.0,1.496,8.12,0.016,0.0,105.34421
2019-11-11T12:42:00,2458799.029,-28.228,-25.274,0.014,2.954,1.5,0.0,1.5,8.101,0.014,0.0,105.28858000000001
2019-11-11T12:44:00,2458799.031,-26.302,-23.413,0.015,2.89,1.496,0.0,1.496,8.107,0.015,0.0,105.2313
2019-11-11T12:46:00,2458799.032,-27.556,-24.632,0.011,2.924,1.498,0.0,1.498,8.105,0.011,0.0,105.25396
2019-11-11T12:48:00,2458799.033,-26.495,-23.531,0.007,2.964,1.505,0.001,1.505,8.117,0.007,0.001,105.2822
2019-11-11T12:50:00,2458799.035,-25.42,-22.49,0.009,2.93,1.504,0.001,1.505,8.113,0.007,0.002,105.25506
2019-11-11T12:52:00,2458799.036,-26.333,-23.353,0.012,2.98,1.516,0.002,1.518,8.145,0.009,0.003,105.30828000000001
2019-11-11T12:54:00,2458799.038,-23.789,-20.788,0.006,3.0,1.506,0.002,1.507,8.124,0.004,0.003,105.31344
2019-11-11T12:56:00,2458799.039,-23.926,-20.929,0.016,2.996,1.508,0.002,1.51,8.109,0.013,0.003,105.33212
2019-11-11T12:58:00,2458799.04,-24.214,-21.15,0.018,3.064,1.514,0.002,1.516,8.106,0.014,0.004,105.39984000000001
2019-11-11T13:00:00,2458799.042,-21.418,-18.542,0.013,2.876,1.512,0.002,1.514,8.104,0.009,0.004,105.2138
2019-11-11T13:02:00,2458799.043,-24.391,-21.289,0.021,3.101,1.509,0.002,1.51,8.107,0.016,0.005,105.44097000000001
2019-11-11T13:04:00,2458799.044,-21.9,-18.968,0.013,2.932,1.498,0.002,1.499,8.105,0.007,0.006,105.26588000000001
2019-11-11T13:06:00,2458799.046,-20.635,-17.661,0.018,2.974,1.508,0.002,1.509,8.081,0.012,0.006,105.31614
2019-11-11T13:08:00,2458799.047,-22.885,-19.852,0.014,3.032,1.511,0.002,1.513,8.12,0.007,0.007,105.36112
2019-11-11T13:10:00,2458799.049,-20.671,-17.808,0.022,2.863,1.508,0.002,1.509,8.1,0.015,0.008,105.22187000000001
2019-11-11T13:12:00,2458799.05,-20.776,-17.819,0.023,2.957,1.505,0.002,1.507,8.102,0.015,0.008,105.31153
2019-11-11T13:14:00,2458799.051,-19.984,-16.984,0.018,3.0,1.498,0.002,1.5,8.098,0.009,0.009,105.34032
2019-11-11T13:16:00,2458799.053,-20.952,-18.08,0.022,2.872,1.502,0.002,1.504,8.099,0.013,0.01,105.23024000000001
2019-11-11T13:18:00,2458799.054,-20.43,-17.47,0.023,2.96,1.508,0.002,1.51,8.112,0.013,0.01,105.31432000000001
2019-11-11T13:20:00,2458799.056,-18.846,-15.973,0.024,2.874,1.505,0.002,1.506,8.121,0.013,0.011,105.23658
2019-11-11T13:22:00,2458799.057,-19.162,-16.125,0.03,3.037,1.503,0.002,1.505,8.106,0.019,0.011,105.40161
2019-11-11T13:24:00,2458799.058,-19.177,-16.172,0.027,3.005,1.507,0.002,1.509,8.1,0.015,0.012,105.36513000000001
2019-11-11T13:26:00,2458799.06,-18.976,-16.088,0.023,2.888,1.509,0.002,1.51,8.101,0.011,0.012,105.24736
2019-11-11T13:28:00,2458799.061,-18.893,-15.871,0.029,3.022,1.52,0.002,1.522,8.122,0.016,0.014,105.38542000000001
2019-11-11T13:30:00,2458799.063,-18.162,-15.163,0.025,2.999,1.516,0.002,1.517,8.118,0.011,0.014,105.35507000000001
2019-11-11T13:32:00,2458799.064,-18.916,-15.924,0.027,2.992,1.514,0.002,1.516,8.108,0.012,0.015,105.35304000000001
2019-11-11T13:34:00,2458799.065,-17.989,-14.966,0.03,3.022,1.504,0.002,1.506,8.118,0.014,0.016,105.38766000000001
2019-11-11T13:36:00,2458799.067,-18.822,-15.672,0.028,3.15,1.51,0.002,1.512,8.105,0.012,0.016,105.50222000000001
2019-11-11T13:38:00,2458799.068,-18.238,-15.313,0.033,2.925,1.509,0.002,1.511,8.117,0.017,0.016,105.30417
2019-11-11T13:40:00,2458799.069,-18.45,-15.311,0.037,3.139,1.51,0.002,1.511,8.099,0.02,0.016,105.51215
2019-11-11T13:42:00,2458799.071,-17.821,-14.834,0.032,2.987,1.51,0.002,1.512,8.125,0.016,0.017,105.35959000000001
2019-11-11T13:44:00,2458799.072,-18.374,-15.384,0.035,2.991,1.524,0.002,1.525,8.11,0.017,0.018,105.37003
2019-11-11T13:46:00,2458799.074,-17.681,-14.615,0.037,3.066,1.514,0.002,1.516,8.105,0.018,0.019,105.44426
2019-11-11T13:48:00,2458799.075,-17.835,-14.873,0.038,2.963,1.515,0.002,1.517,8.103,0.017,0.02,105.35071
2019-11-11T13:50:00,2458799.076,-19.143,-16.098,0.041,3.046,1.513,0.002,1.515,8.089,0.021,0.021,105.43462000000001
2019-11-11T13:52:00,2458799.078,-17.248,-14.238,0.037,3.01,1.515,0.002,1.517,8.109,0.016,0.021,105.39218000000001
