date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_dark,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,rv_model
2021-02-12T11:00:00,2459257.958,-20.361,-16.634,0.025,3.726,1.866,0,1.866,8.518,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.75435,,,,,,,,,,,,106.75435
2021-02-12T11:05:00,2459257.962,-20.139,-16.532,0.027,3.607,1.849,0,1.849,8.514,0.027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5391,,,,,,,,,,,,106.5391
2021-02-12T11:10:00,2459257.965,-21.171,-17.553,0.025,3.618,1.848,0,1.848,8.522,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.55455,,,,,,,,,,,,106.55454999999999
2021-02-12T11:15:00,2459257.969,-20.169,-16.475,0.019,3.694,1.848,0,1.848,8.541,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.68045,,,,,,,,,,,,106.68045
2021-02-12T11:20:00,2459257.972,-20.055,-16.379,0.021,3.676,1.847,0,1.847,8.516,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.65205,,,,,,,,,,,,106.65205
2021-02-12T11:25:00,2459257.976,-19.601,-15.937,0.023,3.664,1.847,0,1.847,8.526,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.63475,,,,,,,,,,,,106.63475
2021-02-12T11:30:00,2459257.979,-19.419,-15.732,0.023,3.686,1.845,0,1.845,8.558,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.67545,,,,,,,,,,,,106.67545
2021-02-12T11:35:00,2459257.983,-18.94,-15.312,0.024,3.628,1.856,0,1.856,8.529,0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5706,,,,,,,,,,,,106.5706
2021-02-12T11:40:00,2459257.986,-19.379,-15.749,0.035,3.63,1.844,0,1.844,8.556,0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.60125,,,,,,,,,,,,106.60125
2021-02-12T11:45:00,2459257.99,-18.569,-14.889,0.041,3.68,1.858,0,1.858,8.585,0.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.70845,,,,,,,,,,,,106.70845
2021-02-12T11:50:00,2459257.993,-18.212,-14.573,0.042,3.639,1.855,0,1.855,8.589,0.042,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.63505,,,,,,,,,,,,106.63504999999999
2021-02-12T11:55:00,2459257.997,-18.546,-14.989,0.039,3.557,1.844,0,1.844,8.601,0.039,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.476,,,,,,,,,,,,106.476
2021-02-12T12:00:00,2459258.0,-18.73,-15.108,0.038,3.621,1.856,0,1.856,8.596,0.038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.59195,,,,,,,,,,,,106.59195
2021-02-12T12:05:00,2459258.003,-18.017,-14.289,0.032,3.729,1.853,0,1.853,8.613,0.032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.77705,,,,,,,,,,,,106.77705
2021-02-12T12:10:00,2459258.007,-18.683,-15.04,0.035,3.644,1.848,0,1.848,8.576,0.035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.62715,,,,,,,,,,,,106.62715
2021-02-12T12:15:00,2459258.01,-17.736,-14.153,0.032,3.583,1.854,0,1.854,8.598,0.032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.50695,,,,,,,,,,,,106.50695
2021-02-12T12:20:00,2459258.014,-17.897,-14.293,0.025,3.605,1.86,0,1.86,8.586,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5305,,,,,,,,,,,,106.5305
2021-02-12T12:25:00,2459258.017,-17.476,-13.886,0.03,3.59,1.861,0,1.861,8.61,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.515,,,,,,,,,,,,106.515
2021-02-12T12:30:00,2459258.021,-17.584,-13.915,0.025,3.669,1.857,0,1.857,8.589,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6489,,,,,,,,,,,,106.6489
2021-02-12T12:35:00,2459258.024,-16.991,-13.336,0.023,3.654,1.853,0,1.853,8.597,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.61625,,,,,,,,,,,,106.61625
2021-02-12T12:40:00,2459258.028,-17.195,-13.562,0.029,3.633,1.856,0,1.856,8.593,0.029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5921,,,,,,,,,,,,106.5921
2021-02-12T12:45:00,2459258.031,-15.408,-11.867,0.027,3.541,1.849,0,1.849,8.592,0.027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.417,,,,,,,,,,,,106.417
2021-02-12T12:50:00,2459258.035,-15.992,-12.399,0.024,3.593,1.863,0,1.863,8.604,0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.50585,,,,,,,,,,,,106.50585
2021-02-12T12:55:00,2459258.038,-17.236,-13.601,0.019,3.635,1.864,0,1.864,8.634,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5713,,,,,,,,,,,,106.5713
2021-02-12T13:00:00,2459258.042,-16.991,-13.325,0.024,3.666,1.86,0,1.86,8.617,0.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6409,,,,,,,,,,,,106.6409
2021-02-12T13:05:00,2459258.045,-16.844,-13.205,0.02,3.638,1.856,0,1.856,8.6,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5793,,,,,,,,,,,,106.5793
2021-02-12T13:10:00,2459258.049,-16.794,-13.193,0.025,3.601,1.869,0,1.869,8.598,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5231,,,,,,,,,,,,106.5231
2021-02-12T13:15:00,2459258.052,-15.986,-12.303,0.026,3.683,1.851,0,1.851,8.59,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.67725,,,,,,,,,,,,106.67725
2021-02-12T13:20:00,2459258.056,-17.688,-14.05,0.019,3.638,1.861,0,1.861,8.596,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.57685,,,,,,,,,,,,106.57685
2021-02-12T13:25:00,2459258.059,-17.946,-14.25,0.023,3.696,1.864,0,1.864,8.607,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.69395,,,,,,,,,,,,106.69395
2021-02-12T13:30:00,2459258.063,-17.733,-14.074,0.021,3.66,1.863,0,1.863,8.604,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.62245,,,,,,,,,,,,106.62245
2021-02-12T13:35:00,2459258.066,-17.462,-13.953,0.022,3.509,1.856,0,1.856,8.606,0.022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.34555,,,,,,,,,,,,106.34555
2021-02-12T13:40:00,2459258.069,-17.593,-14.057,0.021,3.535,1.855,0,1.855,8.603,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3912,,,,,,,,,,,,106.3912
