date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_dark,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,rv_model
2021-02-12T11:00:00,2459257.958,-20.361,-16.634,0.025,3.726,1.866,0,1.866,8.518,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.75435
2021-02-12T11:02:00,2459257.96,-20.997,-17.379,0.023,3.617,1.86,0,1.86,8.554,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5478
2021-02-12T11:04:00,2459257.961,-19.246,-15.708,0.028,3.538,1.851,0,1.851,8.524,0.028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4139
2021-02-12T11:06:00,2459257.963,-20.95,-17.245,0.029,3.705,1.851,0,1.851,8.525,0.029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7253
2021-02-12T11:08:00,2459257.964,-20.043,-16.455,0.026,3.588,1.85,0,1.85,8.529,0.026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5015
2021-02-12T11:10:00,2459257.965,-21.171,-17.553,0.025,3.618,1.848,0,1.848,8.522,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.55454999999999
2021-02-12T11:12:00,2459257.967,-20.84,-17.212,0.023,3.629,1.843,0,1.843,8.53,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.57
2021-02-12T11:14:00,2459257.968,-19.765,-16.019,0.019,3.746,1.851,0,1.851,8.515,0.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.77665
2021-02-12T11:16:00,2459257.969,-21.775,-18.176,0.018,3.599,1.845,0,1.845,8.528,0.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.50225
2021-02-12T11:18:00,2459257.971,-20.38,-16.753,0.021,3.627,1.852,0,1.852,8.541,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.56139999999999
2021-02-12T11:20:00,2459257.972,-20.055,-16.379,0.021,3.676,1.847,0,1.847,8.516,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.65205
2021-02-12T11:22:00,2459257.974,-20.322,-16.699,0.023,3.623,1.848,0,1.848,8.543,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5589
2021-02-12T11:24:00,2459257.975,-19.685,-16.078,0.023,3.606,1.85,0,1.85,8.54,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.52745
2021-02-12T11:26:00,2459257.976,-19.815,-16.183,0.023,3.631,1.845,0,1.845,8.506,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5737
2021-02-12T11:28:00,2459257.978,-19.571,-16.023,0.025,3.547,1.847,0,1.847,8.552,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4232
