date_obs,date_jd,rv_model,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,quiet_flux,ar_flux,conv_flux
2017-01-02T12:00:00,2457756,100.8607045,-24.112,-20.311,0.022,3.801,2.208,0,2.208,8.63,0.022,0,1.91,0.298,1.91,0.298,6.936,78.029,128.412
2017-01-03T12:00:00,2457757,101.1123885,-24.721,-20.79,0.081,3.931,2.201,0,2.201,8.629,0.081,0,1.957,0.245,1.957,0.245,6.968,76.849,131.614
2017-01-04T12:00:00,2457758,101.0600745,-24.749,-20.852,0.072,3.897,2.117,0,2.117,8.534,0.072,0,1.908,0.209,1.908,0.209,6.945,76.292,134.815
2017-01-06T12:00:00,2457760,100.538958,-26.518,-23.069,0.033,3.45,1.976,0,1.976,8.383,0.033,0,1.783,0.193,1.783,0.193,6.947,74.016,127.593
2017-01-07T12:00:00,2457761,100.44166,-25.677,-22.341,0.04,3.336,1.889,0,1.889,8.283,0.04,0,1.727,0.162,1.727,0.162,6.934,72.896,125.048
2017-01-08T12:00:00,2457762,100.2213525,-24,-20.931,0.06,3.069,1.838,0,1.838,8.185,0.06,0,1.739,0.099,1.739,0.099,6.922,70.6,124.184
2017-01-09T12:00:00,2457763,100.2567225,-23.442,-20.337,0.06,3.105,1.766,0,1.766,8.098,0.06,0,1.707,0.059,1.707,0.059,6.918,68.982,123.225
2017-01-10T12:00:00,2457764,100.053256,-23.146,-20.154,0.016,2.992,1.786,0,1.786,8.114,0.016,0,1.741,0.045,1.741,0.045,6.91,69.501,119.162
2017-01-11T12:00:00,2457765,100.061041,-23.321,-20.289,0.001,3.032,1.756,0,1.756,8.072,0.001,0,1.711,0.046,1.711,0.046,6.904,68.531,115.174
2017-01-12T12:00:00,2457766,100.1366325,-22.319,-19.24,0.015,3.079,1.747,0,1.747,8.083,0.015,0,1.694,0.053,1.694,0.053,6.919,68.659,116.864
2017-01-13T12:00:00,2457767,100.292034,-24.067,-20.817,0.009,3.25,1.816,0.001,1.816,8.175,0.003,0.005,1.717,0.1,1.717,0.099,6.921,70.839,125.935
2017-01-14T12:00:00,2457768,100.632401,-25.658,-22.13,0.041,3.528,1.98,0.005,1.985,8.415,-0.003,0.044,1.79,0.196,1.79,0.191,6.944,76.454,159.152
2017-01-15T12:00:00,2457769,100.9101155,-24.584,-20.798,0.053,3.785,2.199,0.006,2.206,8.703,-0.003,0.055,1.845,0.361,1.845,0.355,6.959,80.976,147.973
2017-01-16T12:00:00,2457770,101.4277545,-24.777,-20.602,0.117,4.175,2.309,0.006,2.315,8.897,0.071,0.046,1.855,0.46,1.855,0.454,6.94,85.626,150.993
2017-01-17T12:00:00,2457771,101.933062,-24.533,-19.833,0.112,4.7,2.388,0.006,2.395,9.128,0.085,0.027,1.841,0.554,1.841,0.548,6.942,91.132,159.434
