date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02T12:00:00,2457756,-24.112,-20.311,0.022,3.801,2.208,0,2.208,8.63,0.022,0,1.91,0.298,1.91,0.298,0,6.936,78.029,128.412,-0.647,-35.821,0.457,0.467,-0.005,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03T12:00:00,2457757,-24.721,-20.79,0.081,3.931,2.201,0,2.201,8.629,0.081,0,1.957,0.245,1.957,0.245,0,6.968,76.849,131.614,-0.631,-45.367,0.44,0.45,-0.002,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04T12:00:00,2457758,-24.749,-20.852,0.072,3.897,2.117,0,2.117,8.534,0.072,0,1.908,0.209,1.908,0.209,0,6.945,76.292,134.815,-0.517,-52.958,0.512,0.52,-0.001,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06T12:00:00,2457760,-26.518,-23.069,0.033,3.45,1.976,0,1.976,8.383,0.033,0,1.783,0.193,1.783,0.193,0,6.947,74.016,127.593,-0.199,-8.889,0.329,0.335,-0.003,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-25T12:00:00,2457779,-22.913,-18.204,-0.017,4.709,2.632,0.013,2.645,9.482,0.002,-0.019,1.892,0.753,1.892,0.74,0,6.955,95.621,160.101,0.251,28.342,1.453,1.48,0,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-20T12:00:00,2457805,-21.109,-17.253,-0.067,3.857,2.104,0,2.104,8.56,-0.068,0.001,1.803,0.301,1.803,0.301,0,6.927,78.899,136.01,0.213,0.24,0.601,0.612,-0.001,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-08T12:00:00,2457821,-20.961,-18.004,0.034,2.957,1.709,0,1.709,8.049,0.034,0,1.616,0.093,1.616,0.093,0,6.864,71.087,151.582,0.057,23.462,0.172,0.175,0,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-10T12:00:00,2457823,-19.508,-16.452,0,3.056,1.785,0,1.785,8.066,0,0,1.702,0.083,1.702,0.083,0,6.835,70.677,121.423,0.09,7.328,0.077,0.08,0,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-12T12:00:00,2457825,-21.684,-18.517,0.019,3.167,1.804,0,1.804,8.054,0.019,0,1.721,0.083,1.721,0.083,0,6.814,70.322,113.685,0.151,-7.305,0.164,0.167,0,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-19T12:00:00,2457832,-20.278,-17.057,-0.003,3.221,1.847,0,1.847,8.155,-0.003,0,1.748,0.099,1.748,0.099,0,6.868,71.298,123.347,0.271,23.66,0.171,0.174,0.001,,,,,,,,,,,,,,,,,,,,,,,,
