date_obs,co_lat,area
2015-07-20T09:43:24.70,2.912,10
2015-07-20T09:43:24.70,2.907,11
2015-07-20T09:43:24.70,2.905,14
2015-07-20T09:43:24.70,2.897,8
2015-07-20T09:43:24.70,2.892,16
2015-07-20T09:43:24.70,2.879,14
2015-07-20T09:43:24.70,2.867,6
2015-07-20T09:43:24.70,2.864,7
2015-07-20T09:43:24.70,2.87,6
2015-07-20T09:43:24.70,2.855,7
2015-07-20T09:43:24.70,2.862,6
2015-07-20T09:43:24.70,2.862,8
2015-07-20T09:43:24.70,2.844,6
2015-07-20T09:43:24.70,2.852,9
2015-07-20T09:43:24.70,2.849,6
2015-07-20T09:43:24.70,2.847,6
2015-07-20T09:43:24.70,2.845,36
2015-07-20T09:43:24.70,2.829,8
2015-07-20T09:43:24.70,2.839,6
2015-07-20T09:43:24.70,2.836,8
2015-07-20T09:43:24.70,2.838,6
2015-07-20T09:43:24.70,2.827,9
2015-07-20T09:43:24.70,2.813,67
2015-07-20T09:43:24.70,2.823,16
2015-07-20T09:43:24.70,2.828,7
2015-07-20T09:43:24.70,2.83,9
2015-07-20T09:43:24.70,2.823,6
2015-07-20T09:43:24.70,2.827,13
2015-07-20T09:43:24.70,2.829,9
2015-07-20T09:43:24.70,2.831,8
2015-07-20T09:43:24.70,2.827,25
2015-07-20T09:43:24.70,2.826,6
2015-07-20T09:43:24.70,2.823,20
2015-07-20T09:43:24.70,2.806,7
2015-07-20T09:43:24.70,2.81,85
2015-07-20T09:43:24.70,2.822,11
2015-07-20T09:43:24.70,2.814,12
2015-07-20T09:43:24.70,2.818,28
2015-07-20T09:43:24.70,2.817,36
2015-07-20T09:43:24.70,2.817,6
2015-07-20T09:43:24.70,2.809,8
2015-07-20T09:43:24.70,2.799,6
2015-07-20T09:43:24.70,2.793,18
2015-07-20T09:43:24.70,2.809,7
2015-07-20T09:43:24.70,2.803,6
2015-07-20T09:43:24.70,2.799,16
2015-07-20T09:43:24.70,2.805,6
2015-07-20T09:43:24.70,2.799,8
2015-07-20T09:43:24.70,2.809,6
2015-07-20T09:43:24.70,2.794,7
2015-07-20T09:43:24.70,2.803,7
2015-07-20T09:43:24.70,2.802,6
2015-07-20T09:43:24.70,2.801,13
2015-07-20T09:43:24.70,2.789,18
2015-07-20T09:43:24.70,2.794,7
2015-07-20T09:43:24.70,2.796,9
2015-07-20T09:43:24.70,2.79,16
2015-07-20T09:43:24.70,2.791,7
2015-07-20T09:43:24.70,2.785,6
2015-07-20T09:43:24.70,2.769,8
2015-07-20T09:43:24.70,2.789,6
2015-07-20T09:43:24.70,2.767,5
2015-07-20T09:43:24.70,2.777,7
2015-07-20T09:43:24.70,2.786,31
2015-07-20T09:43:24.70,2.77,5
2015-07-20T09:43:24.70,2.767,8
2015-07-20T09:43:24.70,2.771,6
2015-07-20T09:43:24.70,2.766,8
2015-07-20T09:43:24.70,2.771,14
2015-07-20T09:43:24.70,2.783,11
2015-07-20T09:43:24.70,2.759,7
2015-07-20T09:43:24.70,2.772,12
2015-07-20T09:43:24.70,2.779,6
2015-07-20T09:43:24.70,2.778,9
2015-07-20T09:43:24.70,2.775,15
2015-07-20T09:43:24.70,2.771,6
2015-07-20T09:43:24.70,2.763,5
2015-07-20T09:43:24.70,2.766,13
2015-07-20T09:43:24.70,2.769,7
2015-07-20T09:43:24.70,2.756,5
2015-07-20T09:43:24.70,2.762,10
2015-07-20T09:43:24.70,2.752,6
2015-07-20T09:43:24.70,2.766,13
2015-07-20T09:43:24.70,2.767,22
2015-07-20T09:43:24.70,2.765,18
2015-07-20T09:43:24.70,2.746,6
2015-07-20T09:43:24.70,2.753,6
2015-07-20T09:43:24.70,2.758,7
2015-07-20T09:43:24.70,2.738,6
2015-07-20T09:43:24.70,2.76,6
2015-07-20T09:43:24.70,2.752,136
2015-07-20T09:43:24.70,2.747,6
2015-07-20T09:43:24.70,2.751,5
2015-07-20T09:43:24.70,2.757,10
2015-07-20T09:43:24.70,2.757,5
2015-07-20T09:43:24.70,2.745,51
2015-07-20T09:43:24.70,2.749,13
2015-07-20T09:43:24.70,2.751,7
2015-07-20T09:43:24.70,2.743,5
2015-07-20T09:43:24.70,2.725,5
2015-07-20T09:43:24.70,2.746,14
2015-07-20T09:43:24.70,2.748,6
2015-07-20T09:43:24.70,2.748,15
2015-07-20T09:43:24.70,2.723,17
2015-07-20T09:43:24.70,2.743,7
2015-07-20T09:43:24.70,2.746,5
2015-07-20T09:43:24.70,2.745,5
2015-07-20T09:43:24.70,2.745,5
2015-07-20T09:43:24.70,2.73,14
2015-07-20T09:43:24.70,2.728,6
2015-07-20T09:43:24.70,2.74,9
2015-07-20T09:43:24.70,2.743,7
2015-07-20T09:43:24.70,2.736,17
2015-07-20T09:43:24.70,2.734,14
2015-07-20T09:43:24.70,2.713,5
2015-07-20T09:43:24.70,2.737,7
2015-07-20T09:43:24.70,2.741,7
2015-07-20T09:43:24.70,2.737,7
2015-07-20T09:43:24.70,2.723,10
2015-07-20T09:43:24.70,2.708,16
2015-07-20T09:43:24.70,2.733,10
2015-07-20T09:43:24.70,2.729,5
2015-07-20T09:43:24.70,2.709,5
2015-07-20T09:43:24.70,2.717,6
2015-07-20T09:43:24.70,2.732,6
2015-07-20T09:43:24.70,2.718,7
2015-07-20T09:43:24.70,2.725,5
2015-07-20T09:43:24.70,2.703,5
2015-07-20T09:43:24.70,2.708,5
2015-07-20T09:43:24.70,2.728,8
2015-07-20T09:43:24.70,2.721,6
2015-07-20T09:43:24.70,2.717,23
2015-07-20T09:43:24.70,2.725,5
2015-07-20T09:43:24.70,2.729,6
2015-07-20T09:43:24.70,2.72,8
2015-07-20T09:43:24.70,2.714,5
