date_obs,jd_date,rv_sun,rv_error,logRhk,f_spot,f_bright,f,v_phot,v_conv,rv_model_calc,rv_model
2457223.905,1.405,102.922,0.402,-4.973,0.182,34.169,3.4351,0.168,5.803,103.1378577,108.28311
2457232.938,10.438,104.131,0.4,-4.967,0.303,42.539,4.2842,-0.307,7.949,104.2481203,109.21489
2457233.447,10.947,104.602,0.4,-4.965,0.271,43.784,4.4055,-0.214,8.386,104.8728874,109.82962
2457234.468,11.968,104.754,0.401,-4.963,0.386,45.955,4.6341,-0.002,9.135,106.0542466,111.00107
2457235.465,12.965,105.195,0.401,-4.965,0.356,46.37,4.6726,0.093,9.407,106.5211076,111.46683
2457236.535,14.035,105.606,0.397,-4.963,0.264,44.349,4.4613,0.175,9.084,106.3760769,111.35012
2457237.475,14.975,105.808,0.393,-4.962,0.246,44.673,4.4919,0.289,8.23,105.7765932,110.81126
2457238.071,15.571,105.224,0.39,-4.961,0.299,45.293,4.5592,0.299,7.575,105.1540835,110.22451
2457239.542,17.042,103.588,0.399,-4.958,0.595,44.351,4.4946,0.424,6.473,104.3340601,109.47965
2457240.012,17.512,104.507,0.39,-4.957,0.756,43.556,4.4312,0.492,6.238,104.2460687,109.41342
2457241.968,19.468,103.439,0.4,-4.97,1.277,41.337,4.2614,0.246,6.611,104.0956041,109.20927
2457242.216,19.716,103.975,0.402,-4.971,1.316,41.01,4.2326,0.133,6.68,103.925944,109.02032
2457244.971,22.471,100.788,0.4,-4.978,1.136,39.226,4.0362,-0.554,6.757,102.5579765,107.55305
2457245.004,22.504,101.162,0.4,-4.978,1.129,39.216,4.0345,-0.553,6.746,102.5492706,107.54506
2457251.925,29.425,103.184,0.516,-4.986,0.046,29.373,2.9419,0.111,4.574,101.8106163,107.01246
2457252.506,30.006,102.178,0.45,-4.98,0.049,29.155,2.9204,0.083,4.378,101.5592132,106.76746
2457253.851,31.351,101.838,0.404,-4.972,0.227,30.244,3.0471,0.017,4.137,101.1837478,106.39549
2457254.767,32.267,99.889,0.404,-4.979,0.461,31.03,3.1491,0.15,4.124,101.4504534,106.68132
2457255.761,33.261,102.153,0.399,-4.976,0.697,32.619,3.3316,0.313,4.705,102.3637909,107.58677
2457256.251,33.751,103.12,0.393,-4.973,0.845,33.721,3.4566,0.341,5.182,102.8912702,108.0931
2457257.079,34.579,104.932,0.4,-4.97,1.064,34.662,3.5726,0.238,6.219,103.6936621,108.82679
2457259.695,37.195,105.65,0.403,-4.961,1.66,39.151,4.0811,-0.798,8.446,103.7046555,108.57726
2457260.54,38.04,104.555,0.402,-4.967,1.595,40.119,4.1714,-0.899,7.969,103.0237785,107.90741
2457261.494,38.994,102.762,0.406,-4.971,1.465,42.171,4.3636,-0.722,7.135,102.5763286,107.52827
2457262.511,40.011,101.493,0.408,-4.971,1.231,44.358,4.5589,-0.363,6.17,102.3826173,107.43498
2457263.453,40.953,101.741,0.403,-4.97,0.436,41.352,4.1788,0.017,5.607,102.6279902,107.76259
2457264.438,41.938,102.048,0.406,-4.968,0.051,37.677,3.7728,0.039,5.978,103.0387189,108.1569
2457265.396,42.896,102.305,0.408,-4.976,0.05,38.559,3.8609,0.037,5.814,102.8733899,107.9999
2457266.418,43.918,102.659,0.403,-4.976,0.069,38.382,3.8451,0.09,5.732,102.9041975,108.04236
2457267.481,44.981,103.054,0.406,-4.973,0.103,36.822,3.6925,0.106,5.632,102.8395711,107.9852
2457268.476,45.976,101.979,0.407,-4.976,0.061,34.551,3.4612,0.109,5.757,102.9686849,108.10817
2457269.076,46.576,102.422,0.4,-4.981,0.047,33.995,3.4042,0.091,5.736,102.9102288,108.04832
2457275.34,52.84,101.946,0.41,-4.977,0.093,29.11,2.9203,0.098,4.846,102.0505329,107.2363
2457276.373,53.873,101.471,0.411,-4.986,0.104,28.075,2.8179,0.063,5.162,102.2874491,107.45178
2457277.937,55.437,101.189,0.413,-4.985,0.623,29.461,3.0084,-0.177,5.122,101.7438292,106.87698
2457278.078,55.578,100.818,0.41,-4.985,0.652,29.626,3.0278,-0.186,5.018,101.6227395,106.7601
2457279.497,56.997,101.734,0.412,-4.986,0.672,30.308,3.098,-0.067,4.036,100.9080053,106.1134
2457280.62,58.12,102.861,0.408,-4.988,0.845,34.215,3.506,0.08,4.143,101.3220269,106.54219
2457281.595,59.095,103.85,0.403,-4.983,0.829,34.01,3.4839,0.178,4.814,102.1872005,107.38574
2457282.242,59.742,104.032,0.417,-4.981,0.831,33.741,3.4572,0.153,5.49,102.7988221,107.95842
2457283.203,60.703,105.519,0.507,-4.977,0.773,34.191,3.4964,-0.044,6.423,103.3015106,108.38483
2457284.043,61.543,102.41,0.4,-4.966,0.786,35.546,3.6332,-0.282,7.274,103.6374811,108.64314
2457285.924,63.424,102.188,0.407,-4.97,0.673,39.047,3.972,-0.314,7.405,103.698943,108.69329
2457286.416,63.916,102.93,0.404,-4.969,0.676,40.381,4.1057,-0.271,7.258,103.6448762,108.6529
2457287.01,64.51,102.921,0.4,-4.968,0.752,42.513,4.3265,-0.198,7.126,103.6685867,108.69366
2457288.902,66.402,113.159,0.42,-4.968,0.766,42.312,4.3078,0.292,6.691,104.2708638,109.38671
2457290.865,68.365,105.832,0.42,-4.966,0.856,39.519,4.0375,0.39,7.641,105.4101487,110.48973
2457291.72,69.22,104.621,0.419,-4.963,1.187,39.09,4.0277,0.223,7.916,105.3294069,110.3714
2457292.933,70.433,105.811,0.418,-4.968,1.436,40.942,4.2378,-0.17,7.484,104.0791512,109.08932
2457293.598,71.098,104.548,0.41,-4.965,1.576,41.566,4.3142,-0.357,7.031,103.2411388,108.24915
2457294.708,72.208,104.53,0.417,-4.965,1.703,40.326,4.2029,-0.466,6.382,102.374465,107.40142
2457295.953,73.453,103.48,0.414,-4.968,1.651,39.627,4.1278,-0.217,5.729,102.2561398,107.35189
2457296.087,73.587,103.489,0.41,-4.968,1.61,39.575,4.1185,-0.159,5.67,102.3200511,107.42694
2457297.978,75.478,101.898,0.42,-4.975,0.489,32.3,3.2789,-0.126,5.154,101.8824366,107.02098
2457299.041,76.541,100.592,0.43,-4.98,0.228,30.785,3.1013,-0.185,5.056,101.662175,106.79768
2457300.979,78.479,101.391,0.42,-4.987,0.163,29.276,2.9439,0.035,4.576,101.6528797,106.84408
2457301.557,79.057,101.095,0.414,-4.988,0.143,28.635,2.8778,0.081,4.56,101.7338215,106.93224
2457302.436,79.936,100.797,0.407,-4.989,0.117,27.715,2.7832,0.095,4.589,101.7917321,106.99057
2457303.155,80.655,101.432,0.41,-4.989,0.038,25.291,2.5329,0.041,4.517,101.6075215,106.80265
2457304.074,81.574,100.331,0.41,-4.996,0.038,24.92,2.4958,-0.001,4.322,101.3276822,106.52722
2457305.867,83.367,100.968,0.416,-4.994,0.027,26.059,2.6086,-0.012,3.717,100.7101684,105.93993
2457306.489,83.989,101.86,0.412,-4.993,0.02,26.636,2.6656,-0.021,3.602,100.5782714,105.81282
2457307.262,84.762,102.051,0.408,-4.99,0.083,28.299,2.8382,0.016,3.762,100.8132173,106.0445
2457308.105,85.605,100.181,0.403,-4.984,0.15,28.843,2.8993,0.001,4.064,101.0784056,106.29176
2457314.636,92.136,106.037,0.402,-4.953,0.764,50.035,5.0799,-0.216,8.565,105.0445482,109.99161
2457315.022,92.522,106.557,0.393,-4.952,0.819,51.338,5.2157,-0.164,8.904,105.4868777,110.42336
2457316.9,94.4,108.846,0.402,-4.951,0.776,50.792,5.1568,0.103,10.591,107.7053747,112.59035
2457320.928,98.428,103.712,0.405,-4.957,0.384,43.987,4.4371,0.06,7.249,104.3315763,109.38597
2457321.94,99.44,103.896,0.404,-4.962,0.352,41.133,4.1485,0.155,5.487,102.8000774,107.96011
2457322.084,99.584,103.058,0.4,-4.963,0.342,40.882,4.1224,0.21,5.227,102.6602066,107.84151
2457323.94,101.44,101.904,0.413,-4.971,0.206,36.836,3.7042,0.552,3.696,101.8746902,107.18376
2457324.55,102.05,100.728,0.411,-4.971,0.151,33.503,3.3654,0.459,3.698,101.6812308,106.9773
2457325.459,102.959,99.768,0.411,-4.972,0.55,32.115,3.2665,0.142,4.154,101.463117,106.6913
2457326.051,103.551,99.592,0.41,-4.973,0.795,32.332,3.3127,0.147,4.347,101.6632419,106.88199
2457327.941,105.441,103.001,0.403,-4.971,1.21,32.378,3.3588,0.489,5.348,103.3653594,108.579
2457328.473,105.973,103.423,0.402,-4.971,1.283,32.688,3.3971,0.428,6.144,104.0192302,109.18264
2457329.482,106.982,103.919,0.403,-4.972,1.345,32.619,3.3964,0.233,7.253,104.6990375,109.77721
2457330.417,107.917,103.76,0.406,-4.972,1.06,31.954,3.3014,0.075,7.679,104.7855618,109.81947
2457331.398,108.898,102.175,0.412,-4.971,0.619,31.421,3.204,-0.185,7.366,103.9316988,108.94598
