date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,rv_model_mil,rv_model
2015-07-20T09:43:24.70,2457223.905,-27.648,-21.132,0.115,6.517,3.633,0.004,3.638,10.76,0.119,-0.004,2.214,1.423,2.214,1.419,0,6.841,105.542,151.202,0.75,21.038,2.974,3.032,3.032,108.82841,103.7245675
2015-07-29T10:30:39.20,2457232.938,-24.968,-16.767,-0.249,8.201,4.354,0.003,4.356,11.804,-0.249,0,2.31,2.047,2.31,2.044,0,6.988,109.935,149.693,-1.288,-39.984,4.337,4.425,4.425,109.57917,104.6143335
2015-07-29T22:43:24.00,2457233.447,-27.505,-19.029,-0.072,8.476,4.482,0.002,4.484,12.147,-0.074,0.003,2.302,2.182,2.302,2.18,0,7.092,111.541,149.068,-1.271,-33.578,4.497,4.594,4.594,110.2314,105.256398
2015-07-30T23:14:09.00,2457234.468,-28.905,-19.491,0.149,9.414,4.857,0.005,4.861,12.776,0.112,0.036,2.335,2.527,2.335,2.522,0,7.175,113.305,146.692,-1.005,-17.471,5.278,5.395,5.395,111.59878,106.642304
2015-07-31T23:09:38.90,2457235.465,-29.6,-19.678,0.203,9.921,4.99,0.003,4.993,12.883,0.17,0.032,2.359,2.634,2.359,2.63,0,7.167,111.97,142.628,-0.472,-4.938,5.709,5.835,5.835,112.19125,107.2538855
2015-08-02T00:50:08.90,2457236.535,-25.636,-16.515,0.264,9.12,4.939,0.005,4.944,12.855,0.222,0.042,2.378,2.566,2.378,2.561,0,7.232,110.762,141.709,0.208,9.598,4.994,5.114,5.114,111.58296,106.595064
2015-08-02T23:23:53.80,2457237.475,-29.727,-20.786,0.39,8.941,4.88,0.006,4.886,12.616,0.35,0.04,2.478,2.408,2.478,2.402,0,7.169,109.021,141.586,0.733,17.583,4.753,4.866,4.866,111.69873,106.6839225
2015-08-03T13:41:53.80,2457238.071,-26.537,-18.434,0.208,8.103,4.833,0.006,4.839,12.537,0.175,0.033,2.531,2.308,2.531,2.302,0,7.185,109.332,145.525,0.918,23.787,4.093,4.197,4.197,110.51171,105.4782055
2015-08-05T01:00:38.70,2457239.542,-23.754,-16.705,0.494,7.049,4.418,0.014,4.432,12.08,0.441,0.053,2.439,1.993,2.439,1.979,0,7.236,109.195,150.064,1.007,27.534,3.227,3.309,3.309,110.17213,105.0435365
2015-08-05T12:17:08.80,2457240.012,-25.03,-18.09,0.371,6.94,4.438,0.017,4.455,12.052,0.31,0.06,2.589,1.866,2.589,1.849,0,7.16,110.223,158.149,0.931,21.311,3.178,3.255,3.255,109.79524,104.678021
2015-08-07T11:14:08.60,2457241.968,-26.145,-18.953,0.177,7.192,4.151,0.035,4.187,12.026,0.158,0.019,2.446,1.741,2.446,1.705,0,7.077,118.993,180.38,0.298,-3.865,3.542,3.612,3.612,109.59504,104.518017
2015-08-07T17:11:08.40,2457242.216,-28.623,-21.428,0.1,7.196,4.129,0.037,4.166,12.065,0.1,0,2.46,1.706,2.46,1.669,0,7.1,119.882,185.281,0.275,-1.674,3.358,3.429,3.429,109.42628,104.36017
2015-08-10T11:17:53.40,2457244.971,-26.431,-20.071,-0.597,6.36,3.984,0.026,4.01,11.469,-0.421,-0.176,2.446,1.564,2.446,1.539,0,7.052,111.628,169.321,0.353,-0.483,2.631,2.694,2.694,107.08752,102.074403
