date_obs,date_jd,f_bright,f_spot,f,Bobs
2021-01-03T17:02:23,2459218.21,2.17,0,2.17,8.882
2021-01-03T17:03:50,2459218.211,2.166,0,2.166,8.905
2021-01-03T17:00:57,2459218.209,2.172,0,2.172,8.923
2021-01-04T17:05:16,2459219.212,2.068,0,2.068,8.752
2021-01-04T17:02:23,2459219.21,2.079,0,2.079,8.779
2021-01-04T17:00:57,2459219.209,2.07,0,2.07,8.757
2021-01-04T17:03:50,2459219.211,2.075,0,2.075,8.759
2021-01-05T17:02:23,2459220.21,1.992,0,1.992,8.686
2021-01-05T17:00:57,2459220.209,1.994,0,1.994,8.683
2021-01-05T17:03:50,2459220.211,1.988,0,1.988,8.729
2021-02-20T17:03:50,2459266.211,2.032,0,2.032,8.722
2021-02-20T17:05:16,2459266.212,2.035,0,2.035,8.727
2021-02-18T17:00:57,2459264.209,2.028,0,2.028,8.659
2021-02-18T17:02:23,2459264.21,2.031,0,2.031,8.649
2021-02-18T17:03:50,2459264.211,2.03,0,2.03,8.657
2021-02-11T17:03:50,2459257.211,1.849,0,1.849,8.464
2021-02-11T17:00:57,2459257.209,1.846,0,1.846,8.46
2021-02-11T17:02:23,2459257.21,1.848,0,1.848,8.473
2021-02-21T17:03:50,2459267.211,2.086,0,2.086,8.826
2021-04-23T17:05:16,2459328.212,2.16,0.003,2.163,8.967
2021-04-23T17:03:50,2459328.211,2.167,0.003,2.17,8.981
2021-04-23T17:02:23,2459328.21,2.173,0.003,2.176,8.979
2021-03-01T17:03:50,2459275.211,1.788,0,1.788,8.352
2021-03-01T17:02:23,2459275.21,1.79,0,1.79,8.37
2021-03-01T17:00:57,2459275.209,1.784,0,1.784,8.362
2021-04-30T17:05:16,2459335.212,1.742,0,1.742,8.301
2021-04-30T17:02:23,2459335.21,1.746,0,1.746,8.301
2021-04-30T17:00:57,2459335.209,1.738,0,1.738,8.288
2021-02-04T17:02:23,2459250.21,1.707,0,1.707,8.346
2021-02-04T17:00:57,2459250.209,1.717,0,1.717,8.326
2021-02-04T17:03:50,2459250.211,1.707,0,1.707,8.32
2021-02-05T17:03:50,2459251.211,1.689,0,1.689,8.278
2021-02-05T17:02:23,2459251.21,1.687,0,1.687,8.274
2021-02-05T17:00:57,2459251.209,1.695,0,1.695,8.293
2021-04-17T17:02:23,2459322.21,2.046,0.001,2.046,8.686
2021-04-17T17:05:16,2459322.212,2.048,0.001,2.049,8.697
2021-04-17T17:03:50,2459322.211,2.037,0.001,2.038,8.693
2021-04-19T17:03:50,2459324.211,2.192,0.004,2.196,9.035
2021-04-19T17:02:23,2459324.21,2.193,0.004,2.197,9.025
2021-04-19T17:00:57,2459324.209,2.192,0.004,2.197,9.032
2021-02-24T17:03:50,2459270.211,2.265,0.007,2.272,9.33
2021-02-24T17:00:57,2459270.209,2.263,0.007,2.27,9.325
2021-02-23T17:00:57,2459269.209,2.29,0.005,2.295,9.337
2021-02-23T17:03:50,2459269.211,2.297,0.005,2.302,9.349
2021-02-23T17:05:16,2459269.212,2.298,0.005,2.303,9.338
2021-02-12T17:03:50,2459258.211,1.889,0,1.889,8.498
2021-02-12T17:00:57,2459258.209,1.89,0,1.89,8.495
2021-02-12T17:05:16,2459258.212,1.885,0,1.885,8.491
2021-02-12T17:02:23,2459258.21,1.888,0,1.888,8.5
2021-04-20T17:02:23,2459325.21,2.213,0.008,2.221,9.114
2021-04-20T17:00:57,2459325.209,2.22,0.008,2.228,9.103
2021-04-20T17:05:16,2459325.212,2.223,0.008,2.231,9.114
2021-04-29T17:00:57,2459334.209,1.881,0.002,1.882,8.504
2021-04-29T17:02:23,2459334.21,1.883,0.002,1.884,8.502
2021-04-29T17:05:16,2459334.212,1.89,0.001,1.891,8.507
2021-02-22T17:02:23,2459268.21,2.224,0.004,2.228,9.109
