date_obs,date_jd,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small
2020-12-12T12:00:00.00,2459196,1.737,0.114,1.737,0.114,0,7.313,70.641,108.974,0.09,21.041,0.474,0.479,3.842
2020-12-13T12:00:00.00,2459197,1.775,0.095,1.775,0.095,0,7.286,70.432,95.589,0.052,29.953,0.368,0.371,2.767
2020-12-14T12:00:00.00,2459198,1.796,0.125,1.796,0.125,0,7.298,73.341,110.83,-0.016,27.351,-0.197,-0.195,2.018
2020-12-15T12:00:00.00,2459199,1.679,0.373,1.679,0.373,0,7.309,78.643,134.502,-0.04,-6.965,-0.447,-0.436,2.62
2020-12-16T12:00:00.00,2459200,1.862,0.28,1.862,0.279,0,7.288,83.891,138.827,-0.037,55.138,0.188,0.198,3.335
2020-12-17T12:00:00.00,2459201.219,1.775,0.495,1.775,0.495,0,7.269,86.271,145.052,-0.049,-24.134,2.512,2.53,2.676
2020-12-18T12:00:00.00,2459202,1.698,0.555,1.698,0.555,0,7.284,87.204,141.693,-0.006,-17.301,2.079,2.099,3.155
2020-12-19T12:00:00.00,2459203,1.77,0.476,1.77,0.476,0,7.335,85.309,136.614,0.062,-10.229,1.094,1.113,3.417
2020-12-20T12:00:00.00,2459204,1.8,0.352,1.8,0.352,0,7.318,81.892,134.594,0.163,10.082,0.099,0.111,3.14
2020-12-21T12:00:00.00,2459205,1.886,0.225,1.886,0.225,0,7.311,76.771,115.927,0.148,20.149,0.263,0.27,2.934
2020-12-22T12:00:00.00,2459206,2.004,0.195,2.004,0.19,0,7.414,78.927,129.023,0.075,14.175,-0.115,-0.11,2.718
2020-12-23T12:00:00.00,2459207,2.132,0.161,2.132,0.153,0,7.373,81.666,149.168,-0.017,-31.27,0.248,0.252,2.194
2020-12-25T12:00:00.00,2459209,2.032,0.616,2.032,0.6,0,7.341,95.894,164.37,-0.126,-24.978,2.021,2.048,4.093
2020-12-26T12:00:00.00,2459210,1.952,0.808,1.952,0.79,0,7.348,100.225,162.848,-0.005,-22.346,3.635,3.668,3.812
2020-12-27T12:00:00.00,2459211,1.971,0.811,1.971,0.793,0,7.327,102.728,168.757,0.073,20.702,3.365,3.396,3.419
2020-12-28T12:00:00.00,2459212,2.101,0.714,2.101,0.697,0,7.354,101.691,175.759,0.173,33.05,1.699,1.724,3.066
2020-12-29T12:00:00.00,2459213,2.13,0.599,2.13,0.586,0,7.347,97.109,171.209,0.13,15.256,0.107,0.124,2.588
2020-12-31T12:00:00.00,2459215,2.115,0.42,2.115,0.414,0,7.357,86.963,153.206,0,-4.859,1.109,1.128,4.206
2021-1-1T12:00:00.00,2459216,2.031,0.305,2.028,0.304,0,7.351,82.633,125.723,-0.102,-28.336,1.391,1.407,4.589
2021-1-2T12:00:00.00,2459217,1.983,0.205,1.983,0.205,0,7.329,77.968,114.217,-0.193,-66.866,0.689,0.699,4.388
2021-1-3T12:00:00.00,2459218,1.974,0.224,1.974,0.224,0,7.346,76.328,111.107,-0.228,-15.081,0.497,0.507,3.94
2021-1-5T12:00:00.00,2459220,1.801,0.176,1.801,0.176,0,7.295,74.635,110.382,-0.063,12.925,0.479,0.486,3.544
2021-1-6T12:00:00.00,2459221,1.788,0.11,1.788,0.11,0,7.305,72.039,97.198,-0.019,52.445,0.119,0.123,3.075
2021-1-7T12:00:00.00,2459222,1.731,0.075,1.731,0.075,0,7.307,69.857,90.692,0.116,26.117,0.071,0.074,2.935
2021-1-8T12:00:00.00,2459223,1.657,0.074,1.657,0.074,0,7.297,67.174,90.705,0.149,28.815,-0.027,-0.025,3.017
2021-1-9T12:00:00.00,2459224,1.614,0.06,1.614,0.06,0,7.281,66.065,87.03,0.103,2.026,0.166,0.168,3.312
2021-1-10T12:00:00.00,2459225,1.608,0.052,1.608,0.052,0,7.279,66.636,83.515,0.019,14.187,0.196,0.198,2.647
2021-1-11T12:00:00.00,2459226,1.639,0.058,1.639,0.058,0,7.291,66.966,88.333,-0.104,16.348,0.043,0.045,2.546
2021-1-12T12:00:00.00,2459227,1.67,0.077,1.67,0.077,0,7.468,68.3,96.223,-0.09,-12.709,0.05,0.053,2.847
2021-1-13T12:00:00.00,2459228,1.66,0.111,1.66,0.111,0,7.277,69.714,100.709,-0.11,-13.582,0.494,0.498,3.212
2021-1-14T12:00:00.00,2459229,1.675,0.135,1.675,0.135,0,7.254,72.319,109.424,-0.066,-64.683,0.279,0.284,3.311
2021-1-15T12:00:00.00,2459230,1.699,0.169,1.699,0.168,0,7.305,74.308,128.462,-0.046,-43.195,0.483,0.489,3.259
2021-1-16T12:00:00.00,2459231,1.704,0.183,1.704,0.182,0,7.307,74.642,125.111,0.014,15.949,0.194,0.199,2.52
2021-1-17T12:00:00.00,2459232,1.751,0.1,1.751,0.099,0,7.304,71.899,115.403,-0.003,-6.667,-0.094,-0.091,2.47
2021-1-20T12:00:00.00,2459235,1.886,0.216,1.886,0.214,0,7.329,78.798,143.397,-0.227,-24.638,-0.315,-0.307,3.237
2021-1-21T12:00:00.00,2459236,1.92,0.314,1.92,0.31,0,7.304,83.411,149.469,-0.176,-24.644,0.853,0.864,3.468
2021-1-22T12:00:00.00,2459237,1.877,0.468,1.877,0.465,0,7.327,86.399,141.74,-0.253,-45.804,2.855,2.872,3.194
2021-1-23T12:00:00.00,2459238,2.034,0.366,2.033,0.363,0,7.315,86.141,140.817,-0.171,-38.702,2.207,2.224,4.151
2021-1-28T12:00:00.00,2459243,1.971,0.153,1.971,0.153,0,7.402,76.986,120.138,0.011,25.271,0.733,0.741,4.582
2021-1-29T12:00:00.00,2459244,1.864,0.177,1.864,0.177,0,7.315,74.878,121.707,-0.117,-29.205,0.464,0.472,4.099
2021-1-30T12:00:00.00,2459245,1.888,0.131,1.888,0.131,0,7.346,73.116,98.463,-0.181,-52.928,0.007,0.012,3.293
2021-1-31T12:00:00.00,2459246,1.88,0.078,1.88,0.078,0,7.315,71.328,92.127,-0.171,10.952,0.39,0.394,3.605
2021-2-2T12:00:00.00,2459248,1.694,0.137,1.694,0.137,0,7.312,69.574,100.968,-0.097,7.604,0.329,0.334,3.246
2021-2-3T12:00:00.00,2459249,1.657,0.105,1.657,0.105,0,7.303,67.426,88.98,0.102,17.537,0.054,0.057,2.767
2021-2-4T12:00:00.00,2459250,1.61,0.076,1.61,0.076,0,7.295,65.854,81.936,0.096,24.09,0.169,0.172,2.82
2021-2-5T12:00:00.00,2459251,1.562,0.07,1.562,0.07,0,7.264,65.383,84.792,0.167,18.415,0.182,0.185,2.941
2021-2-6T12:00:00.00,2459252,1.588,0.056,1.588,0.056,0,7.289,65.332,82.576,0.105,-7.114,0.222,0.223,2.81
2021-2-7T12:00:00.00,2459253,1.551,0.05,1.551,0.05,0,7.3,64.947,85.554,-0.036,5.609,0.363,0.365,2.916
2021-2-8T12:00:00.00,2459254,1.599,0.081,1.599,0.081,0,7.286,65.899,95.801,-0.094,2.58,0.089,0.091,2.703
2021-2-9T12:00:00.00,2459255,1.61,0.071,1.61,0.071,0,7.266,67.094,86.619,-0.079,-4.088,0.228,0.23,2.56
