date_obs,date_jd,Bobs,rv_sun,rv_model,rv_model_weather
2020-12-19T12:00:00,2459203,9.242,-639.15,107.01464,-639.3166174
2020-12-20T12:00:00,2459204,9.058,-640.3,106.44193,-640.188487
2021-01-05T12:00:00,2459220,8.736,-641.165455,106.15264,-640.7221102
2021-01-15T12:00:00,2459230,8.661,-641.062963,105.92516,-640.9071734
2021-02-04T12:00:00,2459250,8.359,-641.485294,105.4585,-641.6796416
2021-02-07T12:00:00,2459253,8.292,-641.762963,105.4304,-641.6644007
2021-02-18T12:00:00,2459264,8.692,-640.966667,106.1495,-640.570812
2021-02-21T12:00:00,2459267,8.727,-640.143636,106.16375,-640.5280333
2021-02-22T12:00:00,2459268,8.878,-640.377358,106.30679,-640.3650292
2021-03-05T12:00:00,2459279,8.645,-640.505556,105.96897,-640.9775871
