date_obs,date_jd,Bobs,rv_sun,rv_model,rv_model_weather
2020-12-13T12:00:00,2459197,8.546,-639.5,105.68345,-640.6878453
2020-12-19T12:00:00,2459203,9.242,-639.15,107.01464,-639.5568247
2020-12-20T12:00:00,2459204,9.058,-640.3,106.44193,-640.0485144
2020-12-21T12:00:00,2459205,8.883,-639,106.19848,-640.2586545
2021-01-03T12:00:00,2459218,8.98,-640.5,106.60542,-639.9214923
2021-01-05T12:00:00,2459220,8.736,-641.165455,106.15264,-640.3086272
2021-01-08T12:00:00,2459223,8.409,-639.5,105.5128,-640.8586062
2021-01-15T12:00:00,2459230,8.661,-641.062963,105.92516,-640.4836053
2021-01-30T12:00:00,2459245,8.778,-641.035185,106.0419,-640.3944184
2021-02-04T12:00:00,2459250,8.359,-641.485294,105.4585,-640.8920669
2021-02-07T12:00:00,2459253,8.292,-641.762963,105.4304,-640.9088798
2021-02-18T12:00:00,2459264,8.692,-640.966667,106.1495,-640.2916531
2021-02-21T12:00:00,2459267,8.727,-640.143636,106.16375,-640.2767617
2021-02-22T12:00:00,2459268,8.878,-640.377358,106.30679,-640.1608578
2021-02-24T12:00:00,2459270,9.245,-640.323636,106.34469,-640.1130119
2021-02-28T12:00:00,2459274,8.439,-640.658333,105.78808,-640.6219874
2021-03-05T12:00:00,2459279,8.645,-640.505556,105.96897,-640.4632721
2021-03-06T12:00:00,2459280,8.535,-641.3,105.81733,-640.5986071
2021-03-19T12:00:00,2459293,8.69,-639.148148,106.22049,-640.2488381
2021-03-22T12:00:00,2459296,8.714,-639.648936,105.97669,-640.4396059
