date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small
2021-08-06T11:30:00,2459432.979,-19.29,-15.824,0.052,3.466,1.889,0,1.889,8.614,0.052,0,1.737,0.152,1.737,0.152,0,7.301,71.759,131.058,-0.124,-18.744,0.317,0.322,0
2021-08-06T11:45:00,2459432.99,-19.221,-15.789,0.05,3.431,1.896,0,1.896,8.632,0.05,0,1.731,0.166,1.731,0.166,0,7.319,71.567,127.199,-0.074,-19.965,0.355,0.361,-0.001
2021-08-06T12:00:00,2459433,-19.291,-15.867,0.052,3.424,1.899,0,1.899,8.655,0.052,0,1.743,0.157,1.743,0.157,0,7.342,71.501,129.69,-0.107,-15.844,0.337,0.342,0
2021-08-06T12:15:00,2459433.01,-18.543,-15.212,0.049,3.331,1.895,0,1.895,8.694,0.049,0,1.745,0.15,1.745,0.15,0,7.382,71.658,133.182,-0.134,-15.72,0.302,0.307,-0.001
2021-08-06T12:30:00,2459433.021,-17.905,-14.436,0.047,3.469,1.904,0,1.904,8.689,0.047,0,1.741,0.163,1.741,0.163,0,7.373,71.55,129.776,-0.096,-17.396,0.375,0.38,-0.002
2021-08-07T11:30:00,2459433.979,-18.045,-14.772,0.058,3.273,1.912,0,1.912,8.669,0.058,0,1.754,0.158,1.754,0.158,0,7.338,71.966,126.606,-0.111,-18.876,0.293,0.298,0
2021-08-07T11:45:00,2459433.99,-16.997,-13.531,0.063,3.466,1.913,0,1.913,8.697,0.063,0,1.771,0.142,1.771,0.142,0,7.368,71.891,127.662,-0.145,-17.087,0.323,0.328,0
2021-08-07T12:00:00,2459434,-18.604,-15.332,0.066,3.272,1.905,0,1.905,8.716,0.066,0,1.753,0.151,1.753,0.151,0,7.392,71.942,126.748,-0.181,-18.411,0.295,0.3,0.001
2021-08-07T12:15:00,2459434.01,-17.385,-13.994,0.057,3.391,1.9,0,1.9,8.703,0.057,0,1.758,0.143,1.758,0.143,0,7.38,72.016,127.675,-0.115,-24.815,0.35,0.355,0
2021-08-07T12:30:00,2459434.021,-16.026,-12.6,0.068,3.426,1.918,0,1.918,8.72,0.068,0,1.769,0.15,1.769,0.15,0,7.39,71.771,127.204,-0.144,-28.289,0.307,0.312,0.001
2021-08-08T11:30:00,2459434.979,-18.264,-14.647,-0.018,3.617,2.026,0,2.026,8.806,-0.018,0,1.811,0.215,1.811,0.215,0,7.371,73.596,129.729,-0.101,8.175,0.401,0.408,-0.001
2021-08-08T11:45:00,2459434.99,-17.438,-13.925,-0.019,3.513,2.009,0,2.009,8.817,-0.019,0,1.821,0.188,1.821,0.188,0,7.386,73.947,133.457,-0.077,11.11,0.293,0.299,0.001
2021-08-08T12:00:00,2459435,-18.909,-15.494,-0.03,3.415,2.022,0,2.022,8.84,-0.03,0,1.82,0.201,1.82,0.201,0,7.407,73.675,131.54,-0.102,9.934,0.328,0.334,-0.001
2021-09-01T11:30:00,2459458.979,-22.653,-19.414,0.094,3.239,2.289,0.002,2.291,9.352,0.106,-0.012,1.827,0.464,1.827,0.462,0,7.527,83.548,152.772,0.015,2.636,0.257,0.27,-0.001
2021-09-01T11:45:00,2459458.99,-20.729,-17.499,0.092,3.23,2.287,0.002,2.289,9.348,0.105,-0.012,1.827,0.462,1.827,0.46,0,7.529,83.382,151.727,0.038,1.556,0.303,0.316,-0.001
2021-09-01T12:00:00,2459459,-21.29,-18.06,0.083,3.229,2.287,0.002,2.289,9.382,0.095,-0.012,1.817,0.472,1.817,0.47,0,7.563,83.461,151.101,0.007,3.629,0.266,0.28,-0.001
2021-09-01T12:15:00,2459459.01,-20.264,-17.011,0.095,3.253,2.281,0.002,2.283,9.402,0.106,-0.011,1.824,0.459,1.824,0.457,0,7.585,83.573,153.19,0.031,0.76,0.281,0.294,0.002
2021-09-01T12:30:00,2459459.021,-19.002,-15.796,0.091,3.205,2.279,0.002,2.281,9.397,0.102,-0.012,1.838,0.443,1.838,0.441,0,7.584,83.486,154.411,-0.017,0.151,0.204,0.217,0.002
2021-09-02T11:30:00,2459459.979,-20.868,-17.291,0.095,3.577,2.181,0.003,2.184,9.219,0.075,0.019,1.784,0.399,1.784,0.397,0,7.506,81.494,150.297,0.056,20.863,0.534,0.546,-0.003
2021-09-02T11:45:00,2459459.99,-20.07,-16.524,0.091,3.547,2.178,0.003,2.181,9.235,0.071,0.02,1.788,0.393,1.788,0.39,0,7.523,81.62,151.018,0.162,21.178,0.572,0.584,-0.003
2021-09-02T12:00:00,2459460,-20.012,-16.495,0.086,3.516,2.187,0.003,2.19,9.242,0.066,0.02,1.794,0.396,1.794,0.394,0,7.529,81.323,150.944,0.095,20.79,0.566,0.578,0
2021-09-02T12:15:00,2459460.01,-18.562,-14.961,0.09,3.601,2.188,0.003,2.191,9.275,0.069,0.021,1.79,0.401,1.79,0.398,0,7.56,81.427,150.216,0.038,21.829,0.623,0.635,0.001
2021-09-02T12:15:00,2459460.01,-18.562,-14.961,0.09,3.601,2.188,0.003,2.191,9.275,0.069,0.021,1.79,0.401,1.79,0.398,0,7.56,81.427,150.216,0.038,21.829,0.623,0.635,0.001
2021-09-02T12:30:00,2459460.021,-19.04,-15.391,0.091,3.648,2.198,0.003,2.201,9.288,0.071,0.021,1.803,0.398,1.803,0.395,0,7.569,81.279,151.484,0.067,22.099,0.613,0.626,0.001
