date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T00:00:00,2459434.5,-18.164,-14.952,0.067,3.212,1.834,0,1.834,8.922,0.067,0,1.699,0.136,1.699,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T00:15:00,2459434.51,-19.797,-16.662,0.07,3.135,1.841,0,1.841,8.936,0.07,0,1.716,0.125,1.716,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T00:30:00,2459434.521,-18.175,-15.076,0.077,3.099,1.829,0,1.829,8.956,0.077,0,1.699,0.13,1.699,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T00:45:00,2459434.531,-18.257,-15.09,0.067,3.166,1.829,0,1.829,8.992,0.067,0,1.704,0.124,1.704,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T01:00:00,2459434.542,-18.713,-15.716,0.071,2.997,1.831,0,1.831,8.972,0.071,0,1.704,0.127,1.704,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T01:15:00,2459434.552,-17.523,-14.405,0.068,3.119,1.835,0,1.835,8.967,0.068,0,1.713,0.122,1.713,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T01:30:00,2459434.563,-17.416,-14.299,0.064,3.117,1.842,0,1.842,8.962,0.064,0,1.702,0.14,1.702,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T01:45:00,2459434.573,-18.641,-15.546,0.062,3.095,1.858,0,1.858,8.99,0.062,0,1.725,0.133,1.725,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T02:00:00,2459434.583,-17.338,-14.158,0.063,3.18,1.866,0,1.866,8.978,0.063,0,1.73,0.136,1.73,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T02:15:00,2459434.594,-18.822,-15.686,0.061,3.136,1.861,0,1.861,8.968,0.061,0,1.703,0.158,1.703,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T02:30:00,2459434.604,-19.618,-16.427,0.059,3.191,1.87,0,1.87,8.961,0.059,0,1.714,0.156,1.714,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T02:45:00,2459434.615,-20.918,-17.775,0.057,3.142,1.865,0,1.865,8.937,0.057,0,1.717,0.149,1.717,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T03:00:00,2459434.625,-22.165,-19.014,0.06,3.151,1.867,0,1.867,8.927,0.06,0,1.723,0.144,1.723,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T03:15:00,2459434.635,-21.028,-17.724,0.062,3.304,1.888,0,1.888,8.908,0.062,0,1.726,0.162,1.726,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T03:30:00,2459434.646,-21.845,-18.449,0.055,3.396,1.878,0,1.878,8.879,0.055,0,1.727,0.151,1.727,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T03:45:00,2459434.656,-24.322,-20.92,0.052,3.402,1.881,0,1.881,8.863,0.052,0,1.735,0.146,1.735,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T04:00:00,2459434.667,-25.78,-22.239,0.054,3.541,1.882,0,1.882,8.842,0.054,0,1.712,0.17,1.712,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08T04:15:00,2459434.677,-22.763,-19.325,0.051,3.438,1.896,0,1.896,8.883,0.051,0,1.737,0.159,1.737,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
