date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T00:00:00,2459431.5,-18.37,-15.459,0.129,2.91,1.822,0,1.822,8.924,0.129,0,1.674,0.148,1.674,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T00:15:00,2459431.51,-17.241,-14.419,0.125,2.822,1.814,0,1.814,8.912,0.125,0,1.677,0.137,1.677,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T00:30:00,2459431.521,-18.099,-15.313,0.123,2.786,1.8,0,1.8,8.953,0.123,0,1.663,0.137,1.663,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T00:45:00,2459431.531,-17.839,-14.95,0.12,2.889,1.801,0,1.801,8.942,0.12,0,1.668,0.133,1.668,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T01:00:00,2459431.542,-17.128,-14.289,0.122,2.839,1.788,0,1.788,8.959,0.122,0,1.643,0.145,1.643,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T01:15:00,2459431.552,-15.201,-12.262,0.124,2.939,1.797,0,1.797,8.981,0.124,0,1.659,0.138,1.659,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T01:30:00,2459431.563,-15.29,-12.521,0.119,2.769,1.787,0,1.787,8.959,0.119,0,1.637,0.15,1.637,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T01:45:00,2459431.573,-16.006,-13.103,0.127,2.903,1.805,0,1.805,8.98,0.127,0,1.655,0.15,1.655,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T02:00:00,2459431.583,-16.171,-13.258,0.122,2.913,1.786,0,1.786,8.936,0.122,0,1.647,0.138,1.647,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T02:15:00,2459431.594,-16.762,-13.869,0.125,2.894,1.802,0,1.802,8.937,0.125,0,1.661,0.141,1.661,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T02:30:00,2459431.604,-18.921,-16.136,0.121,2.785,1.798,0,1.798,8.921,0.121,0,1.656,0.142,1.656,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T02:45:00,2459431.615,-18.5,-15.499,0.119,3.001,1.799,0,1.799,8.889,0.119,0,1.659,0.14,1.659,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T03:00:00,2459431.625,-19.364,-16.394,0.117,2.969,1.804,0,1.804,8.893,0.117,0,1.664,0.14,1.664,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T03:15:00,2459431.635,-19.583,-16.466,0.117,3.117,1.811,0,1.811,8.876,0.117,0,1.666,0.145,1.666,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T03:30:00,2459431.646,-20.413,-17.311,0.12,3.101,1.822,0,1.822,8.857,0.12,0,1.684,0.138,1.684,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05T03:45:00,2459431.656,-21.994,-18.822,0.119,3.172,1.825,0,1.825,8.83,0.119,0,1.681,0.144,1.681,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
