date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small
2021-08-12T11:30:00,2459438.979,-20.089,-15.503,0.053,4.586,2.33,0,2.33,9.326,0.053,0,1.837,0.494,1.837,0.494,0,7.378,84.652,147.406,0.177,40.445,1.336,1.354,-0.001
2021-08-12T11:45:00,2459438.99,-18.251,-13.832,0.054,4.418,2.321,0,2.321,9.334,0.054,0,1.834,0.486,1.834,0.486,0,7.388,84.861,148.399,0.218,40.051,1.172,1.189,-0.001
2021-08-12T12:00:00,2459439,-18.095,-13.641,0.05,4.454,2.32,0,2.32,9.339,0.05,0,1.827,0.493,1.827,0.493,0,7.398,84.685,146.77,0.227,41.13,1.23,1.248,-0.002
2021-08-12T12:15:00,2459439.01,-18.731,-14.427,0.048,4.304,2.319,0,2.319,9.352,0.048,0,1.835,0.485,1.835,0.485,0,7.412,84.716,148.165,0.224,40.86,1.161,1.178,-0.001
2021-08-12T12:30:00,2459439.021,-18.384,-13.924,0.048,4.459,2.328,0,2.328,9.367,0.048,0,1.859,0.469,1.859,0.469,0,7.428,84.383,149.062,0.235,46.874,1.251,1.268,-0.002
2021-08-13T11:30:00,2459439.979,-20.702,-16.207,0.052,4.496,2.319,0,2.319,9.361,0.052,0,1.868,0.451,1.868,0.451,0,7.385,85.818,151.097,0.262,47.022,1.154,1.172,0.001
2021-08-13T11:45:00,2459439.99,-18.824,-14.429,0.057,4.395,2.328,0,2.328,9.369,0.057,0,1.874,0.454,1.874,0.454,0,7.393,85.479,150.08,0.236,41.82,1.125,1.142,0
2021-08-13T12:00:00,2459440,-19.422,-14.785,0.048,4.638,2.317,0,2.317,9.394,0.048,0,1.852,0.465,1.852,0.465,0,7.424,85.646,148.796,0.194,42.382,1.243,1.261,0.002
2021-08-13T12:15:00,2459440.01,-19.486,-14.959,0.049,4.527,2.329,0,2.329,9.411,0.049,0,1.851,0.478,1.851,0.478,0,7.44,85.358,147.379,0.233,43.371,1.217,1.235,0.001
2021-08-13T12:30:00,2459440.021,-18.342,-13.914,0.044,4.428,2.324,0,2.324,9.42,0.044,0,1.846,0.478,1.846,0.478,0,7.451,85.375,148.319,0.287,43.882,1.181,1.199,0
2021-08-14T11:30:00,2459440.979,-20.144,-15.603,0.026,4.541,2.352,0,2.352,9.412,0.026,0,1.8,0.553,1.8,0.553,0,7.381,86.794,146.953,0.194,30.038,1.349,1.369,0
2021-08-14T11:45:00,2459440.99,-20.704,-16.251,0.027,4.454,2.367,0,2.367,9.426,0.028,0,1.791,0.577,1.791,0.577,0,7.395,86.313,145.654,0.221,29.577,1.306,1.326,0.001
2021-08-14T12:00:00,2459441,-19.617,-15.2,0.028,4.417,2.363,0,2.363,9.449,0.029,0,1.799,0.564,1.799,0.564,0,7.415,86.592,145.458,0.176,31.016,1.246,1.266,0.001
2021-08-14T12:15:00,2459441.01,-20.272,-15.888,0.028,4.383,2.346,0,2.346,9.451,0.028,0,1.783,0.563,1.783,0.563,0,7.429,86.685,146.004,0.149,32.317,1.231,1.251,0
2021-08-14T12:30:00,2459441.021,-20.799,-16.406,0.029,4.394,2.343,0,2.343,9.458,0.029,0,1.778,0.565,1.778,0.565,0,7.437,86.752,146.515,0.146,31.385,1.333,1.352,0.001
2021-08-15T11:30:00,2459441.979,-21.878,-17.713,0.022,4.165,2.246,0,2.246,9.304,0.022,0,1.792,0.454,1.792,0.454,0,7.393,85.921,157.111,0.104,23.655,0.996,1.012,-0.002
2021-08-15T11:45:00,2459441.99,-20.796,-16.658,0.027,4.139,2.228,0,2.228,9.302,0.028,0,1.768,0.46,1.768,0.46,0,7.403,86.023,155.901,0.136,27.854,0.959,0.976,-0.001
2021-08-15T12:00:00,2459442,-19.358,-15.345,0.023,4.012,2.223,0,2.223,9.329,0.024,0,1.775,0.448,1.775,0.448,0,7.433,86.114,157.67,0.1,30.617,0.921,0.937,-0.003
2021-08-15T12:15:00,2459442.01,-19.009,-14.943,0.024,4.066,2.239,0,2.239,9.336,0.024,0,1.776,0.463,1.776,0.463,0,7.431,85.925,155.593,0.071,28.603,0.948,0.964,-0.002
2021-08-15T12:30:00,2459442.021,-18.325,-14.316,0.027,4.009,2.228,0,2.228,9.335,0.027,0,1.769,0.459,1.769,0.459,0,7.434,86.165,155.803,0.053,27.331,0.939,0.954,-0.002
2021-08-16T11:30:00,2459442.979,-21.472,-17.891,0.015,3.581,2.167,0.002,2.17,9.176,0.024,-0.009,1.769,0.401,1.769,0.399,0,7.414,82.991,154.087,0.079,18.575,0.523,0.537,0
2021-08-16T11:45:00,2459442.99,-20.965,-17.431,0.011,3.534,2.163,0.002,2.165,9.179,0.02,-0.009,1.766,0.4,1.766,0.397,0,7.42,83.084,153.957,0.092,19.959,0.621,0.633,-0.002
2021-08-16T12:00:00,2459443,-25.45,-15.559,0.015,9.891,6.652,0.002,6.654,16.432,0.023,-0.008,6.192,0.462,6.192,0.46,0,13.46,54.858,142.938,0.276,18.687,0.629,0.675,-0.004
2021-08-16T12:15:00,2459443.01,-19.384,-15.8,0.012,3.584,2.161,0.003,2.164,9.188,0.022,-0.01,1.773,0.391,1.773,0.389,0,7.436,82.789,154.098,0.094,16.755,0.575,0.588,-0.001
2021-08-16T12:30:00,2459443.021,-19.628,-16.155,0.017,3.473,2.161,0.002,2.163,9.209,0.026,-0.009,1.77,0.392,1.77,0.39,0,7.459,82.787,154.039,0.073,12.138,0.552,0.565,-0.001
2021-08-17T11:30:00,2459443.979,-17.317,-14.053,0.047,3.264,2.085,0.001,2.085,8.98,0.051,-0.004,1.806,0.279,1.806,0.278,0,7.412,78.116,146.17,0.024,11.97,0.285,0.293,-0.001
