date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T00:00:00,2459452.5,-20.437,-16.089,0.204,4.348,2.688,0.007,2.695,10.183,0.172,0.032,2.056,0.639,2.056,0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T00:15:00,2459452.51,-19.645,-15.216,0.206,4.43,2.685,0.007,2.692,10.169,0.174,0.032,2.062,0.63,2.062,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T00:30:00,2459452.521,-19.332,-14.824,0.205,4.508,2.683,0.007,2.69,10.178,0.173,0.032,2.043,0.647,2.043,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T00:45:00,2459452.531,-20.611,-16.137,0.21,4.474,2.693,0.007,2.7,10.19,0.178,0.031,2.047,0.653,2.047,0.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T01:00:00,2459452.542,-20.04,-15.461,0.202,4.579,2.692,0.007,2.699,10.196,0.17,0.032,2.04,0.658,2.04,0.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T01:15:00,2459452.552,-19.04,-14.66,0.205,4.38,2.686,0.007,2.693,10.187,0.173,0.032,2.024,0.669,2.024,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T01:30:00,2459452.563,-20.37,-15.97,0.208,4.4,2.706,0.007,2.713,10.189,0.177,0.031,2.054,0.66,2.054,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T01:45:00,2459452.573,-19.976,-15.424,0.205,4.552,2.699,0.007,2.706,10.179,0.173,0.031,2.058,0.648,2.058,0.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T02:00:00,2459452.583,-20.455,-15.838,0.21,4.617,2.71,0.007,2.717,10.174,0.18,0.03,2.048,0.669,2.048,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T02:15:00,2459452.594,-21.459,-16.757,0.203,4.702,2.712,0.007,2.718,10.164,0.173,0.03,2.072,0.646,2.072,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T02:30:00,2459452.604,-21.752,-17.017,0.204,4.735,2.711,0.007,2.717,10.146,0.174,0.03,2.074,0.644,2.074,0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T02:45:00,2459452.615,-23.194,-18.402,0.206,4.792,2.716,0.007,2.723,10.141,0.175,0.031,2.083,0.639,2.083,0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T03:00:00,2459452.625,-23.861,-19.029,0.206,4.832,2.715,0.007,2.722,10.109,0.176,0.03,2.062,0.66,2.062,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T03:15:00,2459452.635,-25.464,-20.557,0.207,4.908,2.721,0.007,2.728,10.089,0.177,0.031,2.082,0.646,2.082,0.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T03:30:00,2459452.646,-25.099,-20.214,0.206,4.885,2.729,0.007,2.736,10.078,0.174,0.031,2.062,0.674,2.062,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T03:45:00,2459452.656,-25.046,-20.127,0.206,4.92,2.722,0.007,2.729,10.06,0.174,0.032,2.071,0.658,2.071,0.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T04:00:00,2459452.667,-27.3,-22.308,0.204,4.992,2.729,0.007,2.737,10.037,0.172,0.032,2.059,0.678,2.059,0.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T04:15:00,2459452.677,-26.437,-21.282,0.204,5.154,2.744,0.007,2.751,10.029,0.173,0.031,2.092,0.659,2.092,0.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T04:30:00,2459452.688,-27.311,-22.118,0.207,5.193,2.753,0.007,2.76,10.015,0.176,0.031,2.104,0.657,2.104,0.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T04:45:00,2459452.698,-25.939,-20.711,0.211,5.228,2.763,0.007,2.77,10.005,0.18,0.031,2.101,0.669,2.101,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T05:00:00,2459452.708,-26.627,-21.279,0.206,5.349,2.767,0.007,2.775,9.987,0.175,0.031,2.101,0.673,2.101,0.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T05:15:00,2459452.719,-28.29,-23.025,0.208,5.266,2.771,0.007,2.778,9.971,0.178,0.03,2.105,0.673,2.105,0.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T05:30:00,2459452.729,-26.832,-21.31,0.199,5.522,2.773,0.007,2.781,9.96,0.169,0.03,2.103,0.677,2.103,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T05:45:00,2459452.74,-28.392,-23.006,0.203,5.386,2.771,0.007,2.778,9.928,0.173,0.03,2.098,0.68,2.098,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T06:00:00,2459452.75,-25.912,-20.442,0.201,5.47,2.833,0.007,2.84,10.595,0.171,0.029,2.123,0.716,2.123,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T06:15:00,2459452.76,-26.951,-21.526,0.194,5.425,2.783,0.007,2.79,9.903,0.165,0.028,2.101,0.688,2.101,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T06:30:00,2459452.771,-27.684,-22.226,0.193,5.458,2.794,0.007,2.801,9.905,0.164,0.029,2.106,0.695,2.106,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T06:45:00,2459452.781,-24.978,-19.511,0.193,5.467,2.802,0.007,2.809,9.899,0.165,0.028,2.116,0.693,2.116,0.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T07:00:00,2459452.792,-25.7,-20.316,0.177,5.384,2.802,0.007,2.808,9.901,0.149,0.028,2.109,0.7,2.109,0.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26T07:15:00,2459452.802,-25.777,-20.468,0.185,5.309,2.805,0.007,2.811,9.887,0.157,0.028,2.106,0.706,2.106,0.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
