date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage
2021-09-03T00:00:00,2459460.5,-20.528,-17.149,0.142,3.379,2.07,0.004,2.073,9.298,0.12,0.022,1.68,0.393,1.68,0.39
2021-09-03T01:00:00,2459460.542,-18.526,-15.354,0.138,3.172,2.077,0.004,2.08,9.336,0.117,0.022,1.693,0.387,1.693,0.384
2021-09-03T02:00:00,2459460.583,-22.988,-19.673,0.145,3.315,2.088,0.004,2.092,9.301,0.124,0.021,1.685,0.407,1.685,0.404
2021-09-03T03:00:00,2459460.625,-24.27,-20.726,0.147,3.545,2.113,0.004,2.117,9.246,0.125,0.021,1.696,0.421,1.696,0.418
2021-09-03T04:00:00,2459460.667,-27.069,-23.402,0.149,3.668,2.129,0.004,2.132,9.177,0.127,0.022,1.708,0.424,1.708,0.42
2021-09-03T05:00:00,2459460.708,-27.383,-23.476,0.145,3.908,2.139,0.004,2.142,9.122,0.125,0.021,1.72,0.423,1.72,0.419
2021-09-03T06:00:00,2459460.75,-25.495,-21.418,0.14,4.077,2.226,0.004,2.23,9.727,0.118,0.021,1.811,0.419,1.811,0.415
2021-09-03T07:00:00,2459460.792,-24.003,-19.808,0.131,4.195,2.178,0.004,2.182,9.018,0.108,0.022,1.776,0.406,1.776,0.402
2021-09-03T08:00:00,2459460.833,-23.16,-19.013,0.12,4.147,2.192,0.004,2.197,9.05,0.098,0.022,1.77,0.427,1.77,0.422
2021-09-03T09:00:00,2459460.875,-21.986,-17.859,0.105,4.126,2.204,0.005,2.208,9.104,0.083,0.023,1.781,0.428,1.781,0.423
2021-09-03T10:00:00,2459460.917,-23.255,-19.038,0.107,4.217,2.208,0.004,2.213,9.205,0.086,0.021,1.765,0.447,1.765,0.443
2021-09-03T11:00:00,2459460.958,-21.213,-17.18,0.102,4.033,2.22,0.005,2.225,9.269,0.08,0.022,1.768,0.457,1.768,0.452
2021-09-03T12:00:00,2459461,-19.505,-15.458,0.105,4.048,2.217,0.005,2.222,9.354,0.082,0.023,1.763,0.459,1.763,0.454
2021-09-03T13:00:00,2459461.042,-20.022,-15.887,0.107,4.135,2.238,0.005,2.243,9.418,0.083,0.024,1.789,0.454,1.789,0.449
2021-09-03T14:00:00,2459461.083,-18.651,-14.418,0.115,4.233,2.244,0.005,2.25,9.394,0.091,0.025,1.773,0.477,1.773,0.471
2021-09-03T15:00:00,2459461.125,-20.968,-16.717,0.119,4.251,2.239,0.005,2.244,9.311,0.096,0.024,1.768,0.477,1.768,0.472
2021-09-03T16:00:00,2459461.167,-19.441,-15.253,0.128,4.188,2.23,0.006,2.235,9.223,0.103,0.025,1.741,0.495,1.741,0.489
2021-09-03T17:00:00,2459461.208,-20.209,-15.778,0.139,4.43,2.241,0.006,2.247,9.178,0.114,0.024,1.736,0.511,1.736,0.505
2021-09-03T18:00:00,2459461.25,-22.07,-17.7,0.146,4.37,2.277,0.006,2.283,9.887,0.122,0.024,1.783,0.5,1.783,0.495
2021-09-03T19:00:00,2459461.292,-25.037,-20.784,0.156,4.253,2.234,0.005,2.24,9.161,0.134,0.022,1.743,0.496,1.743,0.491
2021-09-03T20:00:00,2459461.333,-25.209,-20.992,0.162,4.218,2.215,0.006,2.221,9.211,0.139,0.023,1.708,0.513,1.708,0.507
2021-09-03T21:00:00,2459461.375,-25.15,-20.981,0.161,4.169,2.214,0.006,2.22,9.292,0.135,0.026,1.709,0.511,1.709,0.504
2021-09-03T22:00:00,2459461.417,-24.429,-20.446,0.171,3.983,2.223,0.007,2.229,9.408,0.146,0.026,1.719,0.51,1.719,0.503
2021-09-03T23:00:00,2459461.458,-22.404,-18.575,0.165,3.829,2.213,0.006,2.22,9.496,0.14,0.025,1.698,0.522,1.698,0.515
2021-09-04T00:00:00,2459461.5,-19.515,-15.821,0.17,3.694,2.202,0.007,2.209,9.566,0.145,0.025,1.68,0.529,1.68,0.522
2021-09-04T01:00:00,2459461.542,-21.271,-17.576,0.168,3.695,2.2,0.007,2.207,9.568,0.142,0.026,1.685,0.522,1.685,0.515
2021-09-04T02:00:00,2459461.583,-23.421,-19.643,0.165,3.778,2.213,0.007,2.221,9.538,0.138,0.027,1.69,0.531,1.69,0.524
2021-09-04T03:00:00,2459461.625,-24.385,-20.315,0.167,4.07,2.233,0.008,2.241,9.505,0.139,0.028,1.698,0.543,1.698,0.535
2021-09-04T05:00:00,2459461.708,-26.194,-21.61,0.166,4.584,2.266,0.008,2.274,9.361,0.139,0.027,1.705,0.569,1.705,0.561
2021-09-04T06:00:00,2459461.75,-25.708,-20.988,0.158,4.721,2.328,0.008,2.337,9.98,0.131,0.027,1.79,0.547,1.79,0.539
2021-09-04T07:00:00,2459461.792,-25.941,-21.256,0.148,4.685,2.301,0.008,2.309,9.271,0.125,0.023,1.742,0.567,1.742,0.559
2021-09-04T08:00:00,2459461.833,-25.087,-20.367,0.128,4.72,2.329,0.008,2.337,9.325,0.104,0.024,1.777,0.561,1.777,0.552
2021-09-04T09:00:00,2459461.875,-24.164,-19.449,0.118,4.715,2.354,0.008,2.362,9.394,0.097,0.022,1.778,0.583,1.778,0.576
