date_obs,f_bright,f_spot,f,Bobs,,,,,
2459196,1.858,0,1.858,8.569,,,,,
2459197,1.876,0,1.876,8.546,,,,,
2459198,1.927,0,1.927,8.646,,,,,
2459199,2.059,0,2.059,8.869,,,,,
2459200,2.15,0.001,2.151,9.047,,,,,
2459201,2.279,0.001,2.28,9.21,,,,,
2459202,2.263,0,2.263,9.238,,,,,
2459203,2.256,0,2.256,9.242,,,,,
2459204,2.162,0,2.162,9.058,,,,,
2459205,2.116,0,2.116,8.883,,,,,
2459206,2.201,0.005,2.206,9.074,,,,,
2459207,2.29,0.008,2.299,9.16,,,,,
2459209,2.642,0.015,2.658,9.829,,,,,
2459210,2.755,0.018,2.773,10.102,,,,,
2459211,2.776,0.018,2.794,10.199,,,,,
2459212,2.81,0.017,2.827,10.229,,,,,
2459213,2.727,0.013,2.741,9.981,,,,,
2459215,2.538,0.006,2.544,9.498,,,,,
2459216,2.341,0.003,2.344,9.218,,,,,
2459217,2.197,0,2.197,8.985,,,,,
2459218,2.203,0,2.203,8.98,,,,,
2459220,1.985,0,1.985,8.736,,,,,
2459221,1.906,0,1.906,8.63,,,,,
2459222,1.814,0,1.814,8.522,,,,,
2459223,1.74,0,1.74,8.409,,,,,
2459224,1.681,0,1.681,8.336,,,,,
2459225,1.668,0,1.668,8.335,,,,,
2459226,1.705,0,1.705,8.378,,,,,
2459227,1.754,0,1.754,8.611,,,,,
2459228,1.78,0,1.78,8.47,,,,,
2459229,1.818,0,1.818,8.528,,,,,
2459230,1.875,0,1.876,8.661,,,,,
2459231,1.894,0.001,1.895,8.682,,,,,
2459232,1.859,0,1.859,8.592,,,,,
2459235,2.107,0.003,2.11,8.927,,,,,
2459236,2.238,0.003,2.242,9.126,,,,,
2459237,2.352,0.004,2.356,9.333,,,,,
2459238,2.407,0.003,2.41,9.372,,,,,
2459243,2.134,0,2.134,8.988,,,,,
2459244,2.048,0,2.048,8.794,,,,,
2459245,2.028,0,2.028,8.778,,,,,
2459246,1.966,0,1.966,8.668,,,,,
2459248,1.839,0,1.839,8.54,,,,,
2459249,1.769,0,1.769,8.446,,,,,
2459250,1.694,0,1.694,8.359,,,,,
2459251,1.641,0,1.641,8.284,,,,,
2459252,1.651,0,1.651,8.314,,,,,
2459253,1.608,0,1.608,8.292,,,,,
2459254,1.686,0,1.686,8.344,,,,,
2459255,1.689,0,1.689,8.349,,,,,
2459256,1.785,0,1.785,8.453,,,,,
2459257,1.796,0,1.796,8.493,,,,,
2459258,1.854,0,1.854,8.544,,,,,
2459259,1.831,0,1.831,8.548,,,,,
2459260,1.866,0,1.866,8.555,,,,,
2459261,1.898,0,1.898,8.577,,,,,
2459262,1.93,0,1.93,8.615,,,,,
2459264,2.018,0,2.018,8.692,,,,,
2459265,1.995,0,1.995,8.666,,,,,
2459266,2.036,0,2.036,8.738,,,,,
2459267,2.061,0,2.061,8.727,,,,,
2459268,2.142,0.002,2.144,8.878,,,,,
2459269,2.246,0.005,2.25,9.227,,,,,
2459270,2.238,0.005,2.243,9.245,,,,,
2459271,2.271,0.008,2.279,9.175,,,,,
2459272,2.154,0.005,2.159,8.956,,,,,
2459273,1.968,0.003,1.971,8.696,,,,,
2459274,1.821,0,1.821,8.439,,,,,
2459275.001,1.774,0,1.775,8.395,,,,,
2459276,1.825,0,1.825,8.472,,,,,
2459277,1.854,0.002,1.856,8.656,,,,,
2459278,1.904,0.001,1.905,8.705,,,,,
2459279,1.872,0,1.872,8.645,,,,,
2459280,1.829,0,1.829,8.535,,,,,
2459281,1.819,0.002,1.821,8.523,,,,,
2459282,1.762,0,1.762,8.374,,,,,
2459283,1.76,0,1.76,8.37,,,,,
2459284.001,1.761,0.001,1.761,8.419,,,,,
2459285,1.848,0.001,1.848,8.486,,,,,
2459286,1.904,0.001,1.905,8.564,,,,,
2459287,1.962,0,1.963,8.631,,,,,
2459288,1.97,0.001,1.971,8.708,,,,,
2459289,1.987,0,1.987,8.669,,,,,
2459291,1.976,0,1.977,8.644,,,,,
2459293,2.071,0,2.072,8.69,,,,,
2459294,2.04,0,2.041,8.669,,,,,
2459295,2.091,0,2.091,8.728,,,,,
2459296,2.081,0,2.081,8.714,,,,,
2459297,2.167,0.001,2.168,8.836,,,,,
2459298,2.161,0.002,2.163,8.847,,,,,
2459299,2.166,0.003,2.169,8.849,,,,,
2459300,2.077,0.002,2.079,8.79,,,,,
2459301,2.043,0.001,2.044,8.751,,,,,
2459302.001,2.018,0.001,2.019,8.678,,,,,
2459303,2.024,0,2.024,8.619,,,,,
2459304,1.918,0,1.918,8.502,,,,,
2459306,1.759,0,1.759,8.252,,,,,
2459307,1.708,0,1.708,8.197,,,,,
2459308,1.648,0,1.648,8.135,,,,,
2459309,1.719,0.001,1.719,8.205,,,,,
2459310,1.652,0,1.652,8.139,,,,,
2459311,1.63,0,1.63,8.122,,,,,
2459312,1.618,0,1.618,8.099,,,,,
2459316,1.887,0,1.887,8.408,,,,,
2459317.001,1.941,0,1.941,8.512,,,,,
2459318,1.959,0.001,1.96,8.579,,,,,
2459319,2.016,0.001,2.017,8.693,,,,,
2459321,2.06,0,2.06,8.737,,,,,
2459322,2.027,0,2.027,8.627,,,,,
2459323,2.066,0.002,2.068,8.671,,,,,
2459324,2.165,0.005,2.17,8.922,,,,,
2459326,2.174,0.004,2.177,8.956,,,,,
2459327,2.18,0.004,2.184,9.017,,,,,
2459328,2.16,0.003,2.162,8.931,,,,,
2459329,2.237,0.008,2.245,9.175,,,,,
2459330,2.205,0.008,2.213,9.065,,,,,
2459331,2.215,0.011,2.226,9.209,,,,,
2459332,2.202,0.007,2.209,9.139,,,,,
2459333,2.05,0.003,2.053,8.829,,,,,
2459334,1.947,0.002,1.949,8.552,,,,,
2459335,1.768,0,1.769,8.285,,,,,
2459336,1.644,0,1.644,8.08,,,,,
2459337,1.609,0,1.609,8.039,,,,,
2459338,1.625,0,1.625,8.069,,,,,
2459339,1.626,0,1.626,8.064,,,,,
2459340,1.665,0,1.665,8.127,,,,,
