date_obs,date_jd,rv_sun,rv_error,rv_error,rv_sun,rv_error
2020-12-12T12:00:00.00,2459196,-0.646555556,0.000725926,0.725926,-646.555556,0.725926
2020-12-13T12:00:00.00,2459197,-0.65507963,0.007161111,7.161111,-655.07963,7.161111
2020-12-14T12:00:00.00,2459198,-0.676355556,0.000201852,0.201852,-676.355556,0.201852
2020-12-15T12:00:00.00,2459199,-0.671109259,0.000448148,0.448148,-671.109259,0.448148
2020-12-16T12:00:00.00,2459200,-0.678834545,0.000872727,0.872727,-678.834545,0.872727
2020-12-17T12:00:00.00,2459201,-0.665372222,0.002775926,2.775926,-665.372222,2.775926
2020-12-18T12:00:00.00,2459202,-0.654005556,0.010577778,10.577778,-654.005556,10.577778
2020-12-19T12:00:00.00,2459203,-0.635775926,0.000288889,0.288889,-635.775926,0.288889
2020-12-20T12:00:00.00,2459204,-0.668825455,0.0025,2.5,-668.825455,2.5
2020-12-21T12:00:00.00,2459205,-0.657768519,0.00027963,0.27963,-657.768519,0.27963
2020-12-22T12:00:00.00,2459206,-0.640482222,0.0002,0.2,-640.482222,0.2
2020-12-23T12:00:00.00,2459207,-0.647102564,0.002117949,2.117949,-647.102564,2.117949
2020-12-25T12:00:00.00,2459209,-0.630424074,0.004061111,4.061111,-630.424074,4.061111
2020-12-26T12:00:00.00,2459210,-0.645833333,0.011024074,11.024074,-645.833333,11.024074
2020-12-27T12:00:00.00,2459211,-0.640261111,0.000201852,0.201852,-640.261111,0.201852
2020-12-28T12:00:00.00,2459212,-0.639625926,0.000266667,0.266667,-639.625926,0.266667
2020-12-29T12:00:00.00,2459213,-0.639969091,0.000294545,0.294545,-639.969091,0.294545
2020-12-30T12:00:00.00,2459214,-0.639658696,0.0003,0.3,-639.658696,0.3
2020-12-31T12:00:00.00,2459215,-0.640522222,0.0003,0.3,-640.522222,0.3
2021-1-1T12:00:00.00,2459216,-0.644018182,0.00024,0.24,-644.018182,0.24
2021-1-10T12:00:00.00,2459225,-0.642478,0.00026,0.26,-642.478,0.26
2021-1-11T12:00:00.00,2459226,-0.640137736,0.000262264,0.262264,-640.137736,0.262264
2021-1-12T12:00:00.00,2459227,-0.64045625,0.0003,0.3,-640.45625,0.3
2021-1-13T12:00:00.00,2459228,-0.64008,0.00028,0.28,-640.08,0.28
2021-1-14T12:00:00.00,2459229,-0.641145283,0.0002,0.2,-641.145283,0.2
2021-1-15T12:00:00.00,2459230,-0.641062963,0.0002,0.2,-641.062963,0.2
2021-1-16T12:00:00.00,2459231,-0.641083333,0.000201852,0.201852,-641.083333,0.201852
2021-1-17T12:00:00.00,2459232,-0.640661111,0.000203704,0.203704,-640.661111,0.203704
2021-1-2T12:00:00.00,2459217,-0.640256364,0.000241818,0.241818,-640.256364,0.241818
2021-1-20T12:00:00.00,2459235,-0.639449091,0.000436364,0.436364,-639.449091,0.436364
2021-1-21T12:00:00.00,2459236,-0.639048214,0.0002,0.2,-639.048214,0.2
2021-1-22T12:00:00.00,2459237,-0.641369811,0.000284906,0.284906,-641.369811,0.284906
2021-1-23T12:00:00.00,2459238,-0.649383636,0.000227273,0.227273,-649.383636,0.227273
2021-1-28T12:00:00.00,2459243,-0.640638889,0.0002,0.2,-640.638889,0.2
2021-1-29T12:00:00.00,2459244,-0.640455556,0.0002,0.2,-640.455556,0.2
2021-1-3T12:00:00.00,2459218,-0.640809259,0.0002,0.2,-640.809259,0.2
2021-1-30T12:00:00.00,2459245,-0.641035185,0.0002,0.2,-641.035185,0.2
2021-1-31T12:00:00.00,2459246,-0.64184717,0.0002,0.2,-641.84717,0.2
2021-1-5T12:00:00.00,2459220,-0.641165455,0.0002,0.2,-641.165455,0.2
2021-1-6T12:00:00.00,2459221,-0.639836364,0.0002,0.2,-639.836364,0.2
2021-1-7T12:00:00.00,2459222,-0.639563636,0.0002,0.2,-639.563636,0.2
2021-1-8T12:00:00.00,2459223,-0.6395,0.0002,0.2,-639.5,0.2
2021-1-9T12:00:00.00,2459224,-0.663201852,0.000205556,0.205556,-663.201852,0.205556
2021-2-10T12:00:00.00,2459256,-0.679140741,0.000203704,0.203704,-679.140741,0.203704
2021-2-11T12:00:00.00,2459257,-0.678501818,0.0002,0.2,-678.501818,0.2
