fr,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01T12:00:00,2459336.354,-18.249,-15.225,0.049,3.024,1.644,0,1.644,8.08,0.049,0,1.631,0.013,1.631,0.013,0,7.052,65.13,117.144,0.073,17.229,0.02,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03T12:00:00,2459338.354,-21.515,-18.523,0.039,2.992,1.625,0,1.625,8.069,0.039,0,1.62,0.005,1.62,0.005,0,7.042,65.676,104.161,0.075,-104.161,0.008,0.008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04T12:00:00,2459339.354,-20.168,-17.142,0.001,3.026,1.626,0,1.626,8.064,0.001,0,1.601,0.026,1.601,0.026,0,7.047,65.262,130.388,0.018,-73.027,0.013,0.014,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06T12:00:00,2459341.354,-18.716,-15.481,0.007,3.235,1.739,0,1.739,8.281,0.007,0,1.637,0.101,1.637,0.101,0,7.122,68.922,136.483,-0.051,-26.178,0.228,0.232,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07T12:00:00,2459342.355,-19.097,-15.504,0.017,3.593,1.806,0,1.806,8.292,0.017,0,1.681,0.126,1.681,0.126,0,7.061,70.051,123.632,-0.124,-17.857,0.359,0.363,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10T12:00:00,2459345.355,-20.956,-16.961,0.157,3.995,2.132,0.007,2.139,8.831,0.106,0.051,1.722,0.417,1.722,0.41,0,7.076,84.099,160.455,-0.124,6.888,0.747,0.761,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11T12:00:00,2459346.354,-19.834,-15.649,0.181,4.186,2.181,0.007,2.189,8.951,0.138,0.043,1.735,0.454,1.735,0.447,0,7.081,86.912,167.16,-0.135,8.621,0.89,0.905,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12T12:00:00,2459347.354,-19.502,-15.201,0.132,4.301,2.186,0.006,2.192,9.015,0.116,0.016,1.74,0.452,1.74,0.446,0,7.086,88.57,167.275,-0.162,17.572,1.118,1.134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13T12:00:00,2459348.354,-21.517,-17.273,0.038,4.244,2.182,0.005,2.187,8.995,0.039,-0.001,1.74,0.447,1.74,0.442,0,7.091,87.551,164.381,-0.186,16.095,1.072,1.088,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14T12:00:00,2459349.355,-20.218,-16.03,-0.019,4.187,2.155,0.003,2.158,8.901,-0.01,-0.009,1.748,0.41,1.748,0.407,0,7.099,84.352,156.299,-0.18,10.902,0.881,0.896,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16T12:00:00,2459351.354,-19.332,-15.628,0.032,3.704,2.074,0.002,2.076,8.705,0.045,-0.014,1.775,0.301,1.775,0.299,0,7.107,78.973,147.767,-0.267,-7.91,0.408,0.418,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17T12:00:00,2459352.354,-18.291,-14.606,0.067,3.685,2.044,0.001,2.045,8.579,0.078,-0.011,1.792,0.253,1.792,0.251,0,7.082,75.506,133.411,-0.323,-21.078,0.344,0.353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19T12:00:00,2459354.354,-22.002,-18.182,0.017,3.82,2.087,0.004,2.091,8.686,-0.018,0.034,1.779,0.312,1.779,0.308,0,7.125,77.233,135.337,-0.223,-9.082,0.464,0.475,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21T12:00:00,2459356.354,-20.816,-16.438,0.153,4.378,2.294,0.007,2.301,9.088,0.101,0.052,1.829,0.472,1.829,0.465,0,7.167,85.224,153.124,-0.052,2.382,0.827,0.844,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26T12:00:00,2459361.355,-19.727,-16.078,-0.185,3.649,2.399,0.013,2.412,9.453,-0.082,-0.103,1.711,0.701,1.711,0.688,0,7.153,97.71,177.176,0.073,4.003,0.652,0.673,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-27T12:00:00,2459362.354,-17.522,-14.31,-0.047,3.213,2.201,0.009,2.21,9.048,0.029,-0.076,1.673,0.537,1.673,0.527,0,7.103,91.393,177.559,-0.013,-5.551,0.185,0.201,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28T12:00:00,2459363.355,-17.968,-14.9,0.098,3.068,1.906,0.003,1.909,8.547,0.122,-0.024,1.629,0.28,1.629,0.277,0,7.125,77.367,150.644,-0.028,-25.779,0.19,0.198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-29T12:00:00,2459364.354,-18.179,-15.061,0.085,3.117,1.737,0,1.737,8.261,0.085,0,1.594,0.144,1.594,0.144,0,7.07,70.916,131.806,-0.043,-28.815,0.168,0.173,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-30T12:00:00,2459365.355,-18.678,-15.52,0.082,3.159,1.778,0.001,1.779,8.343,0.074,0.008,1.552,0.227,1.552,0.226,0,7.074,73.407,144.228,0.088,-12.281,0.293,0.299,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31T12:00:00,2459366.355,-18.128,-14.711,0.109,3.416,1.869,0.002,1.872,8.541,0.099,0.01,1.589,0.282,1.589,0.28,0,7.069,80.202,169.426,0.017,-5.26,0.562,0.571,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
