date_obs,date_jd,rv_sun,rv_error,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,rv_model
2020-12-12T12:00:00,2459196.0,-639.85,0.2,-16.685,-13.3,0.099,3.385,1.858,0.0,1.858,8.569,0.099,0.0,1.729,0.129,1.729,0.129,0,7.31,70.536,126.877,0.091,32.36,0.168,0.172,0.172,-641.1504133
2020-12-13T12:00:00,2459197.0,-639.5,0.2,-17.2,-13.818,0.013,3.381,1.876,0.0,1.876,8.546,0.013,0.0,1.749,0.127,1.749,0.127,0,7.284,70.336,132.899,0.05,-7.341,0.105,0.109,0.109,-641.2505591
2020-12-14T12:00:00,2459198.0,-590.6,0.2,-19.09,-15.693,-0.036,3.397,1.927,0.0,1.927,8.646,-0.037,0.001,1.73,0.197,1.73,0.197,0,7.296,73.116,140.451,-0.02,-9.431,0.213,0.219,0.219,-641.2816078000001
2020-12-15T12:00:00,2459199.0,-594.8,0.2,-18.893,-15.037,-0.04,3.856,2.059,0.0,2.059,8.869,-0.043,0.002,1.722,0.337,1.722,0.336,0,7.306,78.521,144.513,-0.041,-12.657,0.596,0.607,0.607,-640.632844
2020-12-16T12:00:00,2459200.0,-598.0,0.2,-19.201,-15.087,-0.004,4.114,2.15,0.001,2.151,9.047,-0.012,0.008,1.735,0.417,1.735,0.415,0,7.286,83.789,153.911,-0.037,-18.702,0.905,0.919,0.919,-640.2261712000001
2020-12-17T17:15:21,2459201.219,-638.05,0.2,-24.063,-19.378,0.049,4.685,2.279,0.001,2.28,9.21,0.047,0.003,1.766,0.514,1.766,0.513,0,7.267,86.167,150.245,-0.049,-18.56,1.331,1.35,1.35,-639.3554283
2020-12-18T12:00:00,2459202.0,-606.65,0.2,-21.564,-16.98,0.056,4.584,2.263,0.0,2.263,9.238,0.056,0.0,1.737,0.526,1.737,0.526,0,7.281,87.096,150.16,-0.006,-18.572,1.415,1.434,1.434,-639.4914632
2020-12-19T12:00:00,2459203.0,-639.15,0.2,-21.63,-16.927,0.058,4.704,2.256,0.0,2.256,9.242,0.058,0.0,1.732,0.524,1.732,0.524,0,7.332,85.185,142.77,0.062,-10.674,1.405,1.424,1.424,-639.3185066
2020-12-20T12:00:00,2459204.0,-640.3,0.2,-20.722,-16.629,0.056,4.093,2.162,0.0,2.162,9.058,0.056,0.0,1.758,0.404,1.758,0.404,0,7.314,81.766,141.757,0.163,-3.611,0.883,0.898,0.898,-640.1901562
2020-12-21T12:00:00,2459205.0,-639.0,0.2,-19.795,-15.971,0.059,3.824,2.116,0.0,2.116,8.883,0.059,0.0,1.793,0.323,1.793,0.323,0,7.308,76.58,129.582,0.151,-9.839,0.51,0.521,0.521,-640.5696483
2020-12-22T12:00:00,2459206.0,-639.8,0.2,-20.724,-16.847,0.131,3.877,2.201,0.005,2.206,9.074,0.075,0.056,1.84,0.366,1.84,0.361,0,7.412,78.845,138.096,0.075,-8.803,0.492,0.504,0.504,-640.4151517
2020-12-23T12:00:00,2459207.0,-638.9,0.2,-20.495,-16.546,0.139,3.949,2.29,0.008,2.299,9.16,0.055,0.083,1.892,0.407,1.892,0.399,0,7.371,81.558,147.007,-0.016,-17.106,0.652,0.665,0.665,-640.3039093
2020-12-25T12:00:00,2459209.0,-639.0,0.2,-20.701,-15.405,0.255,5.296,2.642,0.015,2.658,9.829,0.161,0.094,1.879,0.779,1.879,0.764,0,7.338,95.8,162.721,-0.127,-10.797,1.941,1.969,1.969,-638.2597255000001
2020-12-26T12:00:00,2459210.0,-638.05,0.2,-22.843,-16.862,0.234,5.981,2.755,0.018,2.773,10.102,0.163,0.071,1.869,0.904,1.869,0.886,0,7.344,100.059,165.809,-0.006,-0.053,2.42,2.455,2.455,-637.3080348
2020-12-27T12:00:00,2459211.0,-639.1,0.2,-21.367,-15.213,0.103,6.154,2.776,0.018,2.794,10.199,0.091,0.012,1.841,0.953,1.841,0.935,0,7.324,102.58,166.553,0.073,2.886,2.537,2.575,2.575,-637.2057331
2020-12-28T12:00:00,2459212.0,-639.625926,0.266667,-23.924,-17.821,-0.047,6.103,2.81,0.017,2.827,10.229,-0.009,-0.038,1.947,0.88,1.947,0.864,0,7.351,101.557,168.734,0.174,13.575,2.356,2.392,2.392,-637.4430511
2020-12-29T12:00:00,2459213.0,-639.969091,0.294545,-22.552,-17.178,-0.123,5.374,2.727,0.013,2.741,9.981,-0.049,-0.074,1.96,0.781,1.96,0.768,0,7.344,96.98,164.503,0.13,13.138,1.793,1.823,1.823,-638.5638889
2020-12-31T12:00:00,2459215.0,-640.522222,0.3,-20.205,-15.865,0.006,4.34,2.538,0.006,2.544,9.498,0.062,-0.055,2.004,0.541,2.004,0.534,0,7.354,86.866,151.527,0.001,4.154,0.756,0.776,0.776,-639.8935902000001
2021-01-01T12:00:00,2459216.0,-644.018182,0.24,-19.542,-15.443,0.095,4.099,2.341,0.003,2.344,9.218,0.119,-0.024,1.958,0.385,1.958,0.383,0,7.349,82.545,145.012,-0.103,-19.881,0.591,0.605,0.605,-640.1387845
2021-01-02T12:00:00,2459217.0,-640.256364,0.241818,-18.725,-14.766,0.127,3.959,2.197,0.0,2.197,8.985,0.127,0.0,1.908,0.289,1.908,0.289,0,7.326,77.873,128.656,-0.195,-14.595,0.516,0.527,0.527,-640.3028589
2021-01-03T12:00:00,2459218.0,-640.5,0.2,-21.709,-17.551,0.102,4.158,2.203,0.0,2.203,8.98,0.102,0.0,1.959,0.244,1.959,0.244,0,7.344,76.193,128.148,-0.226,-24.083,0.539,0.549,0.549,-640.0471394
2021-01-05T12:00:00,2459220.0,-641.165455,0.2,-18.788,-15.1,0.095,3.688,1.985,0.0,1.985,8.736,0.095,0.0,1.788,0.197,1.788,0.197,0,7.292,74.54,126.993,-0.062,10.788,0.429,0.436,0.436,-640.7236375
2021-01-06T12:00:00,2459221.0,-639.836364,0.2,-18.046,-14.531,0.104,3.515,1.906,0.0,1.906,8.63,0.104,0.0,1.769,0.137,1.769,0.137,0,7.303,71.929,119.054,-0.019,38.005,0.228,0.233,0.233,-640.9599318
2021-01-07T12:00:00,2459222.0,-639.563636,0.2,-20.051,-16.753,0.101,3.298,1.814,0.0,1.814,8.522,0.101,0.0,1.701,0.113,1.701,0.113,0,7.304,69.752,125.271,0.117,80.164,0.145,0.149,0.149,-641.2720177
2021-01-08T12:00:00,2459223.0,-639.5,0.2,-17.661,-14.661,0.095,3.0,1.74,0.0,1.74,8.409,0.095,0.0,1.699,0.041,1.699,0.041,0,7.294,67.074,117.752,0.149,77.107,0.025,0.027,0.027,-641.7026615
2021-01-09T12:00:00,2459224.0,-663.201852,0.205556,-18.245,-15.106,0.047,3.139,1.681,0.0,1.681,8.336,0.047,0.0,1.669,0.012,1.669,0.012,0,7.278,65.964,116.273,0.104,116.273,-0.001,0.0,0.0,-641.5575829
2021-01-10T12:00:00,2459225.0,-642.478,0.26,-18.522,-15.398,0.006,3.123,1.668,0.0,1.668,8.335,0.006,0.0,1.647,0.02,1.647,0.02,0,7.276,66.529,134.652,0.019,-44.59,0.022,0.022,0.022,-641.6253812
2021-01-11T12:00:00,2459226.0,-640.137736,0.262264,-17.81,-14.733,-0.015,3.078,1.705,0.0,1.705,8.378,-0.015,0.0,1.658,0.047,1.658,0.047,0,7.288,66.848,121.942,-0.104,-60.104,0.046,0.047,0.047,-641.7124805
2021-01-12T12:00:00,2459227.0,-640.45625,0.3,-17.425,-14.187,-0.01,3.239,1.754,0.0,1.754,8.611,-0.01,0.0,1.669,0.085,1.669,0.085,0,7.465,68.199,134.893,-0.089,-62.682,0.185,0.187,0.187,-641.477886
2021-01-13T12:00:00,2459228.0,-640.08,0.28,-17.866,-14.525,0.018,3.341,1.78,0.0,1.78,8.47,0.018,0.0,1.667,0.113,1.667,0.113,0,7.274,69.61,124.295,-0.11,-54.082,0.276,0.28,0.28,-641.3019876000001
2021-01-14T12:00:00,2459229.0,-641.145283,0.2,-17.638,-14.104,0.016,3.534,1.818,0.0,1.818,8.528,0.016,0.0,1.696,0.122,1.696,0.122,0,7.251,72.217,144.935,-0.066,-61.259,0.318,0.323,0.323,-641.0295452
2021-01-15T12:00:00,2459230.0,-641.062963,0.2,-19.135,-15.523,0.025,3.612,1.875,0.0,1.876,8.661,0.025,0.0,1.715,0.161,1.715,0.161,0,7.302,74.207,146.13,-0.046,-29.223,0.429,0.435,0.435,-640.9086665
2021-01-16T12:00:00,2459231.0,-641.083333,0.201852,-19.382,-15.744,0.018,3.638,1.894,0.001,1.895,8.682,0.02,-0.001,1.74,0.155,1.74,0.154,0,7.304,74.53,149.297,0.014,-49.558,0.331,0.337,0.337,-640.8793566
2021-01-17T12:00:00,2459232.0,-640.661111,0.203704,-19.839,-16.451,0.012,3.388,1.859,0.0,1.859,8.592,0.012,0.0,1.746,0.114,1.746,0.114,0,7.301,71.788,132.324,-0.003,-10.411,0.17,0.174,0.174,-641.2416964
2021-01-20T12:00:00,2459235.0,-639.449091,0.436364,-16.415,-12.597,0.011,3.818,2.107,0.003,2.11,8.927,-0.01,0.021,1.866,0.244,1.866,0.241,0,7.327,78.708,155.95,-0.227,-54.523,0.438,0.446,0.446,-640.6309047
2021-01-21T12:00:00,2459236.0,-639.048214,0.2,-16.079,-11.705,0.041,4.373,2.238,0.003,2.242,9.126,0.021,0.02,1.887,0.355,1.887,0.352,0,7.301,83.305,158.067,-0.176,-42.003,0.889,0.902,0.902,-639.8081907000001
2021-01-22T12:00:00,2459237.0,-641.369811,0.284906,-17.538,-12.731,0.037,4.807,2.352,0.004,2.356,9.333,0.029,0.008,1.887,0.469,1.887,0.465,0,7.324,86.284,151.992,-0.253,-34.692,1.33,1.348,1.348,-639.1950019
2021-01-23T12:00:00,2459238.0,-649.383636,0.227273,-19.261,-14.198,0.02,5.063,2.407,0.003,2.41,9.372,0.021,-0.001,1.907,0.502,1.907,0.499,0,7.312,86.023,143.247,-0.171,-23.054,1.368,1.388,1.388,-638.849385
2021-01-28T12:00:00,2459243.0,-640.638889,0.2,-18.681,-14.791,0.105,3.891,2.134,0.0,2.134,8.988,0.105,0.0,1.904,0.23,1.904,0.23,0,7.4,76.887,139.124,0.012,19.021,0.38,0.389,0.389,-640.4237855
2021-01-29T12:00:00,2459244.0,-640.455556,0.2,-17.79,-14.172,0.086,3.618,2.048,0.0,2.048,8.794,0.086,0.0,1.864,0.183,1.864,0.183,0,7.312,74.786,134.715,-0.116,4.821,0.351,0.357,0.357,-640.8331322
2021-01-30T12:00:00,2459245.0,-641.035185,0.2,-18.308,-14.661,0.063,3.646,2.028,0.0,2.028,8.778,0.063,0.0,1.896,0.132,1.896,0.132,0,7.344,73.028,126.695,-0.182,2.902,0.228,0.233,0.233,-640.8185491
2021-01-31T12:00:00,2459246.0,-641.84717,0.2,-16.256,-12.656,0.059,3.6,1.966,0.0,1.966,8.668,0.059,0.0,1.856,0.11,1.856,0.11,0,7.313,71.216,124.45,-0.172,18.822,0.178,0.182,0.182,-640.8884003000001
2021-02-02T12:00:00,2459248.0,-681.911765,0.2,-17.11,-13.86,0.062,3.25,1.839,0.0,1.839,8.54,0.063,-0.001,1.763,0.077,1.763,0.076,0,7.309,69.468,129.717,-0.097,-8.77,0.052,0.055,0.055,-641.3831554000001
2021-02-03T12:00:00,2459249.0,-641.292593,0.2,-17.828,-14.577,0.048,3.251,1.769,0.0,1.769,8.446,0.048,0.0,1.731,0.039,1.731,0.039,0,7.301,67.327,115.213,0.102,32.473,0.054,0.056,0.056,-641.3971086
2021-02-04T12:00:00,2459250.0,-641.485294,0.2,-15.717,-12.667,0.05,3.05,1.694,0.0,1.694,8.359,0.05,0.0,1.679,0.015,1.679,0.015,0,7.292,65.753,129.449,0.097,95.755,0.017,0.018,0.018,-641.680935
2021-02-05T12:00:00,2459251.0,-676.451429,0.291429,-15.169,-12.139,0.051,3.031,1.641,0.0,1.641,8.284,0.051,0.0,1.637,0.004,1.637,0.004,0,7.261,65.268,85.7,0.168,85.7,-0.002,-0.002,-0.002,-641.7068737000001
2021-02-06T12:00:00,2459252.0,-661.929091,0.330909,-16.842,-13.82,0.032,3.021,1.651,0.0,1.651,8.314,0.032,0.0,1.637,0.013,1.637,0.013,0,7.287,65.233,118.76,0.106,43.407,0.013,0.014,0.014,-641.7419714
2021-02-07T12:00:00,2459253.0,-641.762963,0.2,-17.849,-14.769,0.025,3.08,1.608,0.0,1.608,8.292,0.025,0.0,1.604,0.004,1.604,0.004,0,7.297,64.85,101.698,-0.037,101.698,0.002,0.002,0.002,-641.6657025000001
