date_obs,date_jd,rv_sun,rv_error,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,f_small,f_large,f_network,f_plage,f_nonconv,quiet_flux,ar_flux,conv_flux,pol_flux,pol_conv_flux,vconv_quiet,vconv_large,vconv_small,rv_model,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
2020-12-12T18:59:59,2459196.292,-639.85,0.2,-22.482,-19.072,0.102,3.41,1.828,0.0,1.828,8.38,0.102,0.0,1.725,0.103,1.725,0.103,0,7.139,70.457,132.45,0.084,23.098,0.123,0.126,-0.001,-641.1115434000001,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-12T18:59:59,2459196.292,-639.85,0.2,-22.482,-19.072,0.102,3.41,1.828,0.0,1.828,8.38,0.102,0.0,1.725,0.103,1.725,0.103,0,7.139,70.457,132.45,0.084,23.098,0.123,0.126,-0.001,-641.1115434000001,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13T18:59:59,2459197.292,-639.5,0.2,-23.033,-19.55,0.021,3.484,1.887,0.0,1.887,8.454,0.02,0.001,1.752,0.135,1.752,0.135,0,7.165,71.206,135.294,-0.021,-6.174,0.069,0.074,-0.001,-641.0952037000001,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15T18:59:59,2459199.292,-594.8,0.2,-22.654,-18.647,0.005,4.007,2.048,0.0,2.048,8.738,0.003,0.002,1.698,0.35,1.698,0.35,0,7.119,81.11,153.458,-0.106,-12.596,0.578,0.591,0.0,-640.3685475,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18T07:15:21,2459201.802,-606.65,0.2,-26.249,-21.178,0.078,5.07,2.248,0.0,2.248,9.055,0.078,0.0,1.722,0.527,1.722,0.526,0,7.118,86.553,146.802,0.036,-16.806,1.651,1.671,0.0,-638.7757226,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18T18:59:59,2459202.292,-606.65,0.2,-26.47,-21.346,0.068,5.123,2.281,0.0,2.281,9.112,0.068,0.0,1.766,0.515,1.766,0.515,0,7.152,86.228,150.091,0.046,-16.732,1.663,1.683,-0.001,-638.7112866,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19T18:59:59,2459203.292,-639.15,0.2,-25.047,-20.186,0.086,4.86,2.234,0.0,2.234,9.035,0.086,0.0,1.737,0.497,1.737,0.497,0,7.167,84.018,141.534,0.137,-9.877,1.467,1.486,0.0,-639.0657662,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18T18:59:59,2459202.292,-606.65,0.2,-26.47,-21.346,0.068,5.123,2.281,0.0,2.281,9.112,0.068,0.0,1.766,0.515,1.766,0.515,0,7.152,86.228,150.091,0.046,-16.732,1.663,1.683,-0.001,-638.7112866,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19T18:59:59,2459203.292,-639.15,0.2,-25.047,-20.186,0.086,4.86,2.234,0.0,2.234,9.035,0.086,0.0,1.737,0.497,1.737,0.497,0,7.167,84.018,141.534,0.137,-9.877,1.467,1.486,0.0,-639.0657662,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20T18:59:59,2459204.292,-640.3,0.2,-25.804,-21.506,0.081,4.297,2.117,0.0,2.117,8.829,0.081,0.0,1.748,0.369,1.748,0.369,0,7.156,80.137,138.273,0.195,-2.371,0.836,0.85,0.001,-639.8724067,,,,,,,,,,,,,,,,,,,,,,,,,,
