date_obs,date_jd,Bobs,rv_sun,rv_model,rv_model_weather
2020-12-19T12:00:00,2459203,9.242,-639.15,107.01464,-639.8591522
2020-12-20T12:00:00,2459204,9.058,-640.3,106.44193,-640.0163894
2021-01-05T12:00:00,2459220,8.736,-639.6,106.15264,-640.1206137
2021-01-09T12:00:00,2459224,8.336,-639.55,105.53455,-640.2618955
2021-01-10T12:00:00,2459225,8.335,-639.1,105.42783,-640.266013
2021-01-12T12:00:00,2459227,8.611,-639.15,105.49987,-640.2361611
2021-01-15T12:00:00,2459230,8.661,-639.6,105.92516,-640.1401718
2021-02-04T12:00:00,2459250,8.359,-641.05,105.4585,-640.2847991
2021-02-05T12:00:00,2459251,8.284,-641.3,105.44307,-640.2896887
2021-02-06T12:00:00,2459252,8.314,-640.6,105.39121,-640.2922621
2021-02-08T12:00:00,2459254,8.344,-639.5,105.42132,-640.2678144
2021-02-11T12:00:00,2459257,8.493,-640.5,105.72631,-640.1939567
2021-02-18T12:00:00,2459264,8.692,-639.9,106.1495,-640.0799533
2021-02-21T12:00:00,2459267,8.727,-638.9,106.16375,-640.0704316
2021-02-22T12:00:00,2459268,8.878,-639.9,106.30679,-640.0457266
2021-02-25T12:00:00,2459271,9.175,-639.3,105.94326,-640.0676008
2021-03-05T12:00:00,2459279,8.645,-639.9,105.96897,-640.1646195
2021-04-02T12:00:00,2459307,8.197,-639.6,105.58454,-640.273476
2021-04-03T12:00:00,2459308,8.135,-640.4,105.4825,-640.2930341
2021-04-17T12:00:00,2459322,8.627,-640.1,106.04458,-640.1653915
2021-04-19T12:00:00,2459324,8.922,-640.4,106.64856,-640.0156173
2021-04-23T12:00:00,2459328,8.931,-639.5,106.46607,-640.0066103
2021-04-29T12:00:00,2459334,8.552,-640.45,105.73595,-640.2464549
2021-04-30T12:00:00,2459335,8.285,-640.15,105.50294,-640.314651
2021-05-03T12:00:00,2459338,8.069,-641.45,105.37992,-640.2997251
2021-05-07T12:00:00,2459342,8.292,-641.2,105.88957,-640.1450614
2021-05-10T12:00:00,2459345,8.831,-640.3,106.57703,-640.0416091
2021-05-11T12:00:00,2459346,8.951,-640.6,106.80842,-639.9924564
2021-05-12T12:00:00,2459347,9.015,-640.15,106.80561,-639.9628618
2021-05-16T12:00:00,2459351,8.705,-640.9,106.0264,-640.1164962
2021-05-19T12:00:00,2459354,8.686,-641.1,106.10068,-640.0866443
2021-05-27T12:00:00,2459362,9.048,-639.5,105.39281,-640.2428521
2021-05-27T12:00:00,2459362,9.048,-640,105.39281,-640.2428521
2021-05-31T12:00:00,2459366,8.541,-640.8,105.93104,-640.1906112
2021-06-03T12:00:00,2459369,9.015,-640.9,106.17093,-640.0194775
2021-06-05T12:00:00,2459371,9.036,-638.9,106.23723,-640.0364622
2021-06-06T12:00:00,2459372,9.044,-639.05,106.44564,-640.0289992
2021-06-11T12:00:00,2459377,8.782,-641.1,106.2975,-640.0923058
2021-06-12T12:00:00,2459378,8.667,-641.2,106.08262,-640.1046584
2021-06-26T12:00:00,2459392,9.194,-640.5,106.51736,-639.9744423
