filename,obsdate,exptime,sunagl,seeing,ccfjdsum,ccfrvmod,dvrms
neidL2_20210515T222849.fits,5/15/21 22:28,54.833211,46.455,0,2459350.432,-0.6843,2.00E-04
neidL2_20210515T222716.fits,5/15/21 22:27,54.860682,46.7834,0,2459350.431,-0.6842,2.00E-04
neidL2_20210515T222543.fits,5/15/21 22:25,54.830106,47.1095,0,2459350.43,-0.6848,2.00E-04
neidL2_20210515T222410.fits,5/15/21 22:24,54.850784,47.4366,0,2459350.429,-0.6851,2.00E-04
neidL2_20210515T222237.fits,5/15/21 22:22,54.833818,47.7647,0,2459350.428,-0.6846,2.00E-04
neidL2_20210515T222103.fits,5/15/21 22:21,54.827365,48.0933,0,2459350.427,-0.6835,2.00E-04
neidL2_20210515T221929.fits,5/15/21 22:19,54.823499,48.4242,0,2459350.425,-0.6856,2.00E-04
neidL2_20210515T221755.fits,5/15/21 22:17,54.821591,48.7532,0,2459350.424,-0.6853,2.00E-04
neidL2_20210515T221622.fits,5/15/21 22:16,54.817056,49.0791,0,2459350.423,-0.6837,2.00E-04
neidL2_20210515T221449.fits,5/15/21 22:14,54.828897,49.4047,0,2459350.422,-0.6842,2.00E-04
neidL2_20210515T221316.fits,5/15/21 22:13,54.819569,49.7312,0,2459350.421,-0.6855,2.00E-04
neidL2_20210515T221143.fits,5/15/21 22:11,54.787224,50.0562,0,2459350.42,-0.6841,2.00E-04
neidL2_20210515T221009.fits,5/15/21 22:10,54.842893,50.3839,0,2459350.419,-0.684,2.00E-04
neidL2_20210515T220835.fits,5/15/21 22:08,54.80837,50.7114,0,2459350.418,-0.6853,2.00E-04
neidL2_20210515T220703.fits,5/15/21 22:07,54.836678,51.0356,0,2459350.417,-0.6837,2.00E-04
neidL2_20210515T220529.fits,5/15/21 22:05,54.815724,51.3629,0,2459350.416,-0.6834,2.00E-04
neidL2_20210515T220355.fits,5/15/21 22:03,54.818243,51.6882,0,2459350.415,-0.6851,2.00E-04
neidL2_20210515T220222.fits,5/15/21 22:02,54.845469,52.0148,0,2459350.414,-0.6851,2.00E-04
neidL2_20210515T220048.fits,5/15/21 22:00,54.826589,52.3396,0,2459350.413,-0.684,2.00E-04
neidL2_20210515T215915.fits,5/15/21 21:59,54.818944,52.6646,0,2459350.411,-0.6839,2.00E-04
neidL2_20210515T215741.fits,5/15/21 21:57,54.849525,52.9887,0,2459350.41,-0.6859,2.00E-04
neidL2_20210515T215608.fits,5/15/21 21:56,54.828744,53.3136,0,2459350.409,-0.6842,2.00E-04
neidL2_20210515T215434.fits,5/15/21 21:54,54.828902,53.6367,0,2459350.408,-0.6828,2.00E-04
neidL2_20210515T215301.fits,5/15/21 21:53,54.798156,53.96,0,2459350.407,-0.6857,2.00E-04
neidL2_20210515T215127.fits,5/15/21 21:51,54.862006,54.285,0,2459350.406,-0.685,2.00E-04
neidL2_20210515T214954.fits,5/15/21 21:49,54.839076,54.6063,0,2459350.405,-0.6826,2.00E-04
neidL2_20210515T214821.fits,5/15/21 21:48,54.827462,54.9283,0,2459350.404,-0.6833,2.00E-04
neidL2_20210515T214647.fits,5/15/21 21:46,54.811527,55.2507,0,2459350.403,-0.6848,2.00E-04
neidL2_20210515T214514.fits,5/15/21 21:45,54.845494,55.5712,0,2459350.402,-0.6837,2.00E-04
neidL2_20210515T214341.fits,5/15/21 21:43,54.814058,55.8915,0,2459350.401,-0.6836,2.00E-04
neidL2_20210515T214208.fits,5/15/21 21:42,54.830232,56.21,0,2459350.4,-0.6838,2.00E-04
neidL2_20210515T214035.fits,5/15/21 21:40,54.80679,56.53,0,2459350.398,-0.6842,2.00E-04
neidL2_20210515T213902.fits,5/15/21 21:39,54.811247,56.8496,0,2459350.397,-0.685,2.00E-04
neidL2_20210515T213728.fits,5/15/21 21:37,54.882738,57.1682,0,2459350.396,-0.6844,2.00E-04
neidL2_20210515T213555.fits,5/15/21 21:35,54.834265,57.4862,0,2459350.395,-0.6842,2.00E-04
neidL2_20210515T213422.fits,5/15/21 21:34,54.83915,57.803,0,2459350.394,-0.6846,2.00E-04
neidL2_20210515T213249.fits,5/15/21 21:32,54.823667,58.119,0,2459350.393,-0.6838,2.00E-04
neidL2_20210515T213116.fits,5/15/21 21:31,54.819295,58.4363,0,2459350.392,-0.6849,2.00E-04
neidL2_20210515T212816.fits,5/15/21 21:28,54.845255,59.0472,0,2459350.39,-0.6846,2.00E-04
neidL2_20210515T212642.fits,5/15/21 21:26,54.815454,59.3628,0,2459350.389,-0.6836,2.00E-04
neidL2_20210515T212509.fits,5/15/21 21:25,54.826097,59.6768,0,2459350.388,-0.6833,2.00E-04
neidL2_20210515T212336.fits,5/15/21 21:23,54.848567,59.9907,0,2459350.387,-0.684,2.00E-04
neidL2_20210515T212203.fits,5/15/21 21:22,54.846771,60.3024,0,2459350.386,-0.6843,2.00E-04
neidL2_20210515T212029.fits,5/15/21 21:20,54.840404,60.6157,0,2459350.385,-0.6847,2.00E-04
neidL2_20210515T211856.fits,5/15/21 21:18,54.854602,60.9277,0,2459350.383,-0.6836,2.00E-04
neidL2_20210515T211722.fits,5/15/21 21:17,54.844874,61.2392,0,2459350.382,-0.684,2.00E-04
neidL2_20210515T211549.fits,5/15/21 21:15,54.828862,61.5498,0,2459350.381,-0.6844,2.00E-04
neidL2_20210515T211415.fits,5/15/21 21:14,54.839512,61.86,0,2459350.38,-0.6832,2.00E-04
neidL2_20210515T211242.fits,5/15/21 21:12,54.845984,62.1698,0,2459350.379,-0.6847,2.00E-04
neidL2_20210515T211108.fits,5/15/21 21:11,54.839361,62.477,0,2459350.378,-0.6838,2.00E-04
neidL2_20210515T210935.fits,5/15/21 21:09,54.849335,62.7834,0,2459350.377,-0.6826,2.00E-04
neidL2_20210515T210802.fits,5/15/21 21:08,54.822957,63.0893,0,2459350.376,-0.6847,2.00E-04
