date,time,date_jd,ccfrvmod,dvrms
7/10/21,19:32:34,2459406.31,-0.6468,2.00E-04
7/10/21,19:31:01,2459406.308,-0.6471,2.00E-04
7/10/21,19:29:28,2459406.307,-0.6465,2.00E-04
7/10/21,19:27:54,2459406.306,-0.6465,2.00E-04
7/10/21,19:26:20,2459406.305,-0.6466,2.00E-04
7/10/21,19:24:47,2459406.304,-0.6457,2.00E-04
7/10/21,19:23:13,2459406.303,-0.6459,2.00E-04
7/10/21,19:21:40,2459406.302,-0.6471,2.00E-04
7/10/21,19:20:06,2459406.301,-0.6458,2.00E-04
7/10/21,19:18:33,2459406.3,-0.6459,2.00E-04
7/10/21,19:16:59,2459406.299,-0.646,2.00E-04
7/10/21,19:15:26,2459406.298,-0.6459,2.00E-04
7/10/21,19:13:53,2459406.297,-0.6461,2.00E-04
7/10/21,19:12:20,2459406.295,-0.6474,2.00E-04
7/10/21,19:10:47,2459406.294,-0.6457,2.00E-04
7/10/21,19:09:13,2459406.293,-0.6452,2.00E-04
7/10/21,19:07:39,2459406.292,-0.6479,2.00E-04
7/10/21,19:06:06,2459406.291,-0.6458,2.00E-04
7/10/21,19:04:32,2459406.29,-0.6459,2.00E-04
7/10/21,19:02:59,2459406.289,-0.6461,2.00E-04
7/10/21,19:01:26,2459406.288,-0.6462,2.00E-04
7/10/21,18:59:52,2459406.287,-0.6456,2.00E-04
7/10/21,18:58:19,2459406.286,-0.6459,2.00E-04
7/10/21,18:56:46,2459406.285,-0.6466,2.00E-04
7/10/21,18:50:08,2459406.28,-0.6463,2.00E-04
7/10/21,18:48:34,2459406.279,-0.6466,2.00E-04
7/10/21,18:47:01,2459406.278,-0.6445,2.00E-04
7/10/21,18:45:28,2459406.277,-0.6464,2.00E-04
7/10/21,18:43:54,2459406.276,-0.6471,2.00E-04
7/10/21,18:42:21,2459406.275,-0.6459,2.00E-04
7/10/21,18:40:47,2459406.274,-0.6457,2.00E-04
7/10/21,18:39:13,2459406.272,-0.6468,2.00E-04
7/10/21,18:37:40,2459406.271,-0.6457,2.00E-04
7/10/21,18:36:07,2459406.27,-0.645,2.00E-04
