filename,obsdate,exptime,sunagl,seeing,ccfjdsum,ccfrvmod,dvrms
neidL2_20210710T192447.fits,7/10/21 19:24,54.757628,80.0421,0,2459406.304,-0.6457,2.00E-04
neidL2_20210710T192313.fits,7/10/21 19:23,54.831919,79.9816,0,2459406.303,-0.6459,2.00E-04
neidL2_20210710T192140.fits,7/10/21 19:21,54.764701,79.9097,0,2459406.302,-0.6471,2.00E-04
neidL2_20210710T192006.fits,7/10/21 19:20,54.786145,79.8264,0,2459406.301,-0.6458,2.00E-04
neidL2_20210709T192544.fits,7/9/21 19:25,54.81462,80.2051,0,2459405.305,-0.5079,0.0012
neidL2_20210709T192411.fits,7/9/21 19:24,54.748476,80.1524,0,2459405.304,-0.6949,0.0017
neidL2_20210709T192238.fits,7/9/21 19:22,54.810964,80.0882,0,2459405.303,-0.6592,4.00E-04
neidL2_20210709T192105.fits,7/9/21 19:21,54.728465,80.0125,0,2459405.302,-0.6205,3.00E-04
neidL2_20210708T192546.fits,7/8/21 19:25,54.72182,80.3315,0,2459404.305,-0.6764,2.00E-04
neidL2_20210708T192413.fits,7/8/21 19:24,54.846959,80.2794,0,2459404.304,-0.6765,2.00E-04
neidL2_20210708T192239.fits,7/8/21 19:22,54.725399,80.2155,0,2459404.303,-0.6756,2.00E-04
neidL2_20210708T192106.fits,7/8/21 19:21,54.818889,80.14,0,2459404.302,-0.6756,2.00E-04
neidL2_20210708T191933.fits,7/8/21 19:19,54.780815,80.0534,0,2459404.3,-0.6766,2.00E-04
neidL2_20210707T192443.fits,7/7/21 19:24,54.819341,80.4172,0,2459403.304,-0.6763,2.00E-04
neidL2_20210707T192310.fits,7/7/21 19:23,54.790562,80.3578,0,2459403.303,-0.676,2.00E-04
neidL2_20210707T192136.fits,7/7/21 19:21,54.870873,80.2864,0,2459403.302,-0.675,2.00E-04
neidL2_20210707T192003.fits,7/7/21 19:20,54.756323,80.2036,0,2459403.301,-0.6762,2.00E-04
neidL2_20210706T192558.fits,7/6/21 19:25,54.808589,80.5689,0,2459402.305,-0.6779,2.00E-04
neidL2_20210706T192424.fits,7/6/21 19:24,54.742936,80.5199,0,2459402.304,-0.6774,2.00E-04
neidL2_20210706T192251.fits,7/6/21 19:22,54.797629,80.4588,0,2459402.303,-0.6762,2.00E-04
neidL2_20210706T192118.fits,7/6/21 19:21,54.746686,80.3854,0,2459402.302,-0.6761,2.00E-04
neidL2_20210706T191944.fits,7/6/21 19:19,54.845965,80.3004,0,2459402.301,-0.6768,2.00E-04
neidL2_20210705T192437.fits,7/5/21 19:24,54.837595,80.6347,0,2459401.304,-0.7321,0.004
neidL2_20210705T192304.fits,7/5/21 19:23,54.798952,80.5756,0,2459401.303,-0.6393,4.00E-04
neidL2_20210705T192131.fits,7/5/21 19:21,54.806453,80.5049,0,2459401.302,-0.6848,3.00E-04
neidL2_20210705T191958.fits,7/5/21 19:19,54.793718,80.4221,0,2459401.301,-0.6785,0.0024
neidL2_20210701T192555.fits,7/1/21 19:25,54.809461,81.0349,0,2459397.305,-0.6903,0.0182
neidL2_20210701T192422.fits,7/1/21 19:24,54.8437,80.9905,0,2459397.304,-0.7296,0.0175
neidL2_20210701T192248.fits,7/1/21 19:22,54.803275,80.9332,0,2459397.303,-0.6434,0.0166
neidL2_20210701T192115.fits,7/1/21 19:21,54.786469,80.8632,0,2459397.302,-0.6541,0.0186
neidL2_20210701T191941.fits,7/1/21 19:19,54.807343,80.781,0,2459397.301,-0.7379,0.0187
neidL2_20210629T192550.fits,6/29/21 19:25,54.839228,81.1733,0,2459395.305,-0.6388,3.00E-04
neidL2_20210629T192416.fits,6/29/21 19:24,54.848105,81.1308,0,2459395.304,-0.6374,2.00E-04
neidL2_20210629T192243.fits,6/29/21 19:22,54.80319,81.0753,0,2459395.303,-0.6397,3.00E-04
neidL2_20210629T192109.fits,6/29/21 19:21,54.821469,81.0067,0,2459395.302,-0.6436,3.00E-04
neidL2_20210629T191935.fits,6/29/21 19:19,54.832051,80.9253,0,2459395.301,-0.6346,3.00E-04
neidL2_20210628T192530.fits,6/28/21 19:25,54.814656,81.2257,0,2459394.305,-0.4859,5.00E-04
neidL2_20210628T192357.fits,6/28/21 19:23,54.801311,81.182,0,2459394.303,-0.7027,3.00E-04
neidL2_20210628T192223.fits,6/28/21 19:22,54.819151,81.1249,0,2459394.302,-0.6773,2.00E-04
neidL2_20210628T192049.fits,6/28/21 19:20,54.751511,81.0549,0,2459394.301,-0.6772,2.00E-04
neidL2_20210628T191916.fits,6/28/21 19:19,54.82392,80.9722,0,2459394.3,-0.6792,3.00E-04
neidL2_20210627T192546.fits,6/27/21 19:25,54.806132,81.2853,0,2459393.305,-0.6403,2.00E-04
neidL2_20210627T192306.fits,6/27/21 19:23,54.786945,81.2085,0,2459393.303,-0.6391,2.00E-04
neidL2_20210627T192133.fits,6/27/21 19:21,54.758082,81.1461,0,2459393.302,-0.6396,2.00E-04
neidL2_20210627T191959.fits,6/27/21 19:19,54.824182,81.0701,0,2459393.301,-0.6406,2.00E-04
neidL2_20210625T192440.fits,6/25/21 19:24,54.825465,81.3466,0,2459391.304,-0.6408,2.00E-04
neidL2_20210625T192307.fits,6/25/21 19:23,54.702819,81.3005,0,2459391.303,-0.6403,2.00E-04
neidL2_20210624T192512.fits,6/24/21 19:25,54.811018,81.3925,0,2459390.304,-0.7621,0.017
neidL2_20210624T192339.fits,6/24/21 19:23,54.81774,81.3524,0,2459390.303,-0.65,0.013
neidL2_20210624T192205.fits,6/24/21 19:22,54.799682,81.2989,0,2459390.302,-0.5736,4.00E-04
