date,quality
20201201,0
20201202,0
20201203,1
20201204,0
20201205,0
20201206,2
20201207,3
20201208,3
20201209,2
20201210,4
20201211,2
20201212,3
20201213,2
20201214,3
20201215,1
20201216,0
20201217,3
20201218,1
20201219,1
20201220,0
20201221,2
20201222,4
20201223,4
20201224,4
20201225,3
20201226,1
20201227,4
20201228,3
20201229,4
20201230,1
20201231,4
20210101,3
20210102,3
20210103,2
20210104,0
20210105,1
20210106,3
20210107,2
20210108,2
20210109,1
20210110,1
20210111,2
20210112,1
20210113,3
20210114,3
20210115,0
20210116,2
20210117,2
20210118,0
20210119,4
20210120,4
20210121,4
20210122,3
20210123,3
20210124,4
20210125,4
20210126,4
20210127,4
20210128,4
20210129,4
20210130,3
20210131,3
20210201,4
20210202,4
20210203,3
20210204,1
20210205,1
20210206,1
20210207,1
20210208,0
20210209,3
20210210,3
20210211,1
20210212,2
20210213,4
20210214,3
20210215,4
20210216,4
20210217,3
20210218,1
20210219,1
20210220,2
20210221,1
20210222,0
20210223,2
20210224,2
20210225,1
20210226,2
20210227,3
20210228,2
20210301,1
20210302,3
20210303,4
20210304,4
20210305,1
20210306,2
20210307,4
20210308,4
20210309,4
20210310,1
20210311,3
20210312,4
20210313,4
20210314,2
20210315,4
20210316,4
20210317,3
20210318,3
20210319,2
20210320,2
20210321,4
20210322,2
20210323,3
20210324,4
20210325,4
20210326,3
20210327,2
20210328,1
20210329,4
20210330,2
20210331,1
