DATE,QUAL,NOON_QUAL
20201201,0,0
20201202,0,0
20201203,1,1
20201204,0,0
20201205,0,0
20201206,2,1
20201207,3,3
20201208,3,3
20201209,2,1
20201210,4,4
20201211,2,4
20201212,3,4
20201213,2,1
20201214,3,3
20201215,1,1
20201216,0,0
20201217,3,3
20201218,1,1
20201219,1,1
20201220,0,1
20201221,2,1
20201222,4,4
20201223,4,4
20201224,4,4
20201225,3,4
20201226,1,1
20201227,4,4
20201228,3,4
20201229,4,4
20201230,1,1
20201231,4,4
20210101,3,1
20210102,3,2
20210103,2,1
20210104,0,0
20210105,1,0
20210106,3,3
20210107,2,3
20210108,2,1
20210109,1,1
20210110,1,1
20210111,2,1
20210112,1,1
20210113,3,4
20210114,3,4
20210115,0,0
20210116,2,3
20210117,2,3
20210118,0,0
20210119,4,4
20210120,4,4
20210121,4,4
20210122,3,4
20210123,3,4
20210124,4,4
20210125,4,4
20210126,4,4
20210127,4,4
20210128,4,4
20210129,4,4
20210130,3,1
20210131,3,4
20210201,4,4
20210202,4,4
20210203,3,4
20210204,1,1
20210205,1,1
20210206,1,1
20210207,1,1
20210208,0,0
20210209,3,4
20210210,3,4
20210211,1,1
20210212,2,1
20210213,4,4
20210214,3,3
20210215,4,4
20210216,4,4
20210217,3,3
20210218,1,1
20210219,1,1
20210220,2,1
20210221,1,1
20210222,0,0
20210223,2,3
20210224,2,1
20210225,1,1
20210226,2,1
20210227,3,3
20210228,2,1
20210301,1,1
20210302,3,4
20210303,4,4
20210304,4,4
20210305,1,1
20210306,2,1
20210307,4,4
20210308,4,4
20210309,4,4
20210310,1,1
20210311,3,4
20210312,4,4
20210313,4,4
20210314,2,1
20210315,4,4
20210316,4,4
20210317,3,4
20210318,3,4
20210319,2,1
20210320,2,1
20210321,4,4
20210322,2,1
20210323,3,4
20210324,4,4
20210325,4,4
20210326,3,4
20210327,2,1
20210328,1,1
20210329,4,4
20210330,2,1
20210331,1,1
20210401,2,4
20210402,1,1
20210403,1,1
20210404,2,1
20210405,4,4
20210406,4,4
20210407,0,0
20210408,3,4
20210409,1,1
20210410,2,2
20210411,4,4
20210412,1,1
20210413,3,3
20210414,4,4
20210415,4,4
20210416,4,4
20210417,0,0
20210418,2,1
20210419,1,1
20210420,1,1
20210421,2,2
20210422,4,4
20210423,1,3
20210424,3,3
20210425,3,3
20210426,4,4
20210427,4,4
20210428,4,4
20210429,1,1
20210430,1,1
20210501,4,4
20210502,2,1
20210503,1,1
20210504,0,0
20210505,3,3
20210506,2,2
20210507,1,1
20210508,3,3
20210509,0,0
20210510,1,1
20210511,0,0
20210512,1,1
20210513,3,3
20210514,2,1
20210515,1,1
20210516,1,1
20210517,2,1
20210518,3,3
20210519,1,1
20210520,3,1
20210521,2,1
20210522,1,1
20210523,2,2
20210524,2,2
20210525,3,3
20210526,4,4
20210527,0,0
20210528,2,2
20210529,2,1
20210530,1,1
20210531,1,1
20210601,3,3
20210602,3,3
20210603,0,0
20210604,4,4
20210605,0,0
20210606,1,1
20210607,4,4
20210608,4,4
20210609,4,4
20210610,4,4
20210611,1,1
20210612,1,1
20210613,2,3
20210614,4,4
20210615,4,4
20210616,4,4
20210617,4,4
20210618,4,4
20210619,3,3
20210620,2,1
20210621,2,1
20210622,4,4
20210623,4,4
20210624,4,4
20210625,3,4
20210626,1,1
20210627,2,1
20210628,4,4
20210629,4,4
20210630,4,4
20210701,4,4
20210702,4,4
20210703,4,4
20210704,4,4
20210705,4,4
20210706,3,4
20210707,4,4
20210708,3,4
20210709,4,4
20210710,2,2
20210711,3,4
20210712,4,4
20210713,4,4
20210714,4,4
