date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,rv_model
2012-06-05T17:59:55.70,2456084.25,-42.669,-21.344,0.126,21.325,4.99,0.025,5.015,13.727,0.126,0.0,122.62449000000001
2012-06-05T18:14:55.70,2456084.26,-42.891,-21.442,0.127,21.45,4.992,0.025,5.017,13.818,0.127,0.0,122.74298
2012-06-05T18:29:55.70,2456084.271,-42.704,-21.263,0.119,21.441,4.985,0.025,5.01,13.81,0.118,0.002,122.71669
2012-06-05T18:44:55.70,2456084.281,-45.349,-23.761,0.131,21.588,4.984,0.025,5.008,13.832,0.134,-0.003,122.88028
2012-06-05T18:59:55.70,2456084.292,-45.242,-23.65,0.134,21.591,4.991,0.025,5.016,13.825,0.136,-0.002,122.88979
2012-06-05T19:14:55.80,2456084.302,-46.222,-24.857,0.107,21.365,4.991,0.025,5.017,13.846,0.114,-0.007,122.61913000000001
2012-06-05T19:44:55.80,2456084.323,-45.836,-24.092,0.109,21.744,4.98,0.025,5.006,13.832,0.119,-0.01,122.97608000000001
2012-06-05T19:59:55.80,2456084.333,-46.688,-25.03,0.111,21.658,4.971,0.025,4.996,13.832,0.121,-0.01,122.90058
2012-06-05T20:14:55.80,2456084.344,-47.484,-25.731,0.085,21.753,4.983,0.025,5.008,13.867,0.093,-0.008,122.93069
2012-06-05T20:29:55.80,2456084.354,-48.012,-26.604,0.083,21.407,4.967,0.026,4.993,13.82,0.096,-0.013,122.60443000000001
2012-06-05T20:44:55.80,2456084.365,-46.39,-24.751,0.094,21.639,4.969,0.026,4.994,13.819,0.107,-0.013,122.84483
2012-06-05T20:59:55.80,2456084.375,-49.465,-27.748,0.082,21.717,4.96,0.026,4.986,13.836,0.095,-0.014,122.89049
2012-06-05T21:14:55.80,2456084.385,-48.681,-26.969,0.089,21.712,4.947,0.026,4.973,13.818,0.104,-0.015,122.90152
2012-06-05T21:44:55.80,2456084.406,-47.865,-26.447,0.07,21.419,4.96,0.025,4.985,13.88,0.087,-0.016,122.58647
2012-06-05T21:59:55.80,2456084.417,-46.296,-24.773,0.058,21.523,4.946,0.025,4.971,13.853,0.078,-0.019,122.65631
2012-06-05T22:14:55.80,2456084.427,-43.395,-22.044,0.039,21.352,4.944,0.025,4.969,13.865,0.059,-0.02,122.45472000000001
2012-06-05T22:44:55.80,2456084.448,-40.133,-18.869,0.149,21.264,4.951,0.085,5.036,13.9,0.058,0.09,122.61928
2012-06-05T22:59:55.80,2456084.458,-40.863,-19.463,0.211,21.4,4.95,0.091,5.041,13.869,0.052,0.159,122.88464
2012-06-05T23:14:55.80,2456084.469,-41.038,-19.777,0.254,21.262,4.954,0.092,5.047,13.896,0.054,0.2,122.85262
2012-06-05T23:59:55.80,2456084.5,-44.968,-23.944,0.246,21.023,4.963,0.097,5.06,13.923,0.039,0.207,122.61243
2012-06-06T00:14:55.80,2456084.51,-45.073,-24.218,0.185,20.856,4.954,0.097,5.051,13.886,0.028,0.157,122.32048
2012-06-06T00:29:55.90,2456084.521,-44.526,-23.479,0.125,21.048,4.947,0.097,5.045,13.918,0.033,0.092,122.36464000000001
2012-06-06T00:44:55.90,2456084.531,-45.683,-24.655,0.055,21.028,4.96,0.098,5.057,13.896,0.044,0.011,122.18924000000001
2012-06-06T01:14:55.90,2456084.552,-44.851,-23.9,-0.142,20.951,4.952,0.097,5.049,13.904,0.026,-0.169,121.67635000000001
2012-06-06T01:29:55.90,2456084.563,-45.501,-24.635,-0.25,20.867,4.961,0.096,5.057,13.881,0.006,-0.256,121.35631000000001
2012-06-06T01:44:55.90,2456084.573,-45.992,-25.404,-0.322,20.589,4.953,0.096,5.048,13.889,0.008,-0.33,120.93649
2012-06-06T01:59:55.90,2456084.583,-45.053,-24.439,-0.389,20.614,4.953,0.095,5.048,13.881,-0.002,-0.388,120.80966000000001
2012-06-06T02:14:55.90,2456084.594,-44.937,-24.278,-0.437,20.659,4.968,0.095,5.063,13.88,-0.009,-0.428,120.74399
2012-06-06T02:29:55.90,2456084.604,-45.278,-24.495,-0.462,20.783,4.978,0.095,5.073,13.945,-0.016,-0.445,120.80331000000001
2012-06-06T02:44:55.90,2456084.615,-44.062,-23.58,-0.444,20.482,4.982,0.094,5.075,13.872,-0.003,-0.441,120.56370000000001
2012-06-06T03:14:55.90,2456084.635,-45.471,-25.016,-0.36,20.455,4.985,0.09,5.075,13.946,0.0,-0.36,120.72675000000001
2012-06-06T03:44:55.90,2456084.656,-45.475,-25.212,-0.239,20.264,4.993,0.085,5.078,13.911,-0.011,-0.228,120.82016
2012-06-06T03:59:55.90,2456084.667,-44.094,-23.73,-0.148,20.363,5.0,0.077,5.077,13.918,0.0,-0.148,121.11607000000001
