date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot,rv_model
2012-06-03T11:59:55.70,2456082.0,-22.707,-21.299,0.214,1.407,4.58,0.017,4.597,12.287,0.109,0.105,104.29787
2012-06-03T13:59:55.60,2456082.083,-21.678,-19.722,0.229,1.956,4.627,0.016,4.643,12.372,0.121,0.109,104.84204000000001
2012-06-03T17:59:55.60,2456082.25,-24.246,-21.197,0.253,3.049,4.639,0.018,4.657,12.34,0.144,0.109,105.91229
2012-06-03T19:59:55.60,2456082.333,-26.468,-22.377,0.27,4.092,4.662,0.018,4.679,12.557,0.176,0.094,106.92036
2012-06-03T21:59:55.70,2456082.417,-23.207,-19.048,0.313,4.159,4.662,0.019,4.681,12.618,0.212,0.101,107.07899
2012-06-03T23:59:55.70,2456082.5,-22.603,-17.812,0.306,4.791,4.646,0.017,4.664,12.679,0.203,0.102,107.65107
2012-06-04T01:59:55.80,2456082.583,-25.453,-19.621,0.319,5.831,4.692,0.018,4.71,12.738,0.204,0.115,108.64739
2012-06-04T03:59:55.80,2456082.667,-28.742,-21.904,0.348,6.838,4.724,0.019,4.743,12.764,0.23,0.118,109.64886
2012-06-04T05:59:55.80,2456082.75,-30.414,-22.613,0.336,7.801,4.756,0.018,4.774,12.658,0.222,0.115,110.51757
2012-06-04T07:59:55.80,2456082.833,-30.668,-21.645,0.33,9.023,4.796,0.018,4.815,12.86,0.217,0.113,111.64059
2012-06-04T09:59:55.80,2456082.917,-30.134,-20.057,0.317,10.077,4.801,0.02,4.821,12.843,0.201,0.116,112.59169
2012-06-04T11:59:55.80,2456083.0,-30.859,-19.704,0.293,11.155,4.836,0.02,4.856,12.964,0.179,0.114,113.54047
2012-06-04T13:59:55.70,2456083.083,-30.46,-18.598,0.302,11.861,4.83,0.021,4.851,12.956,0.187,0.115,114.21721000000001
2012-06-04T15:59:55.70,2456083.167,-33.367,-20.486,0.293,12.881,4.844,0.021,4.866,13.009,0.183,0.11,115.14565
2012-06-04T17:59:55.70,2456083.25,-35.721,-22.149,0.319,13.572,4.831,0.021,4.853,12.993,0.214,0.105,115.84652
2012-06-04T19:59:55.70,2456083.333,-35.344,-21.015,0.358,14.329,4.814,0.021,4.835,13.184,0.254,0.104,116.63789000000001
2012-06-04T21:59:55.70,2456083.417,-33.935,-18.94,0.368,14.994,4.828,0.022,4.85,13.324,0.27,0.098,117.27874
2012-06-04T23:59:55.80,2456083.5,-37.018,-21.33,0.363,15.688,4.819,0.021,4.841,13.346,0.271,0.092,117.91296
2012-06-05T07:59:55.90,2456083.833,-39.761,-20.618,0.272,19.143,4.956,0.025,4.981,13.535,0.219,0.054,120.92227000000001
2012-06-05T11:59:55.80,2456084.0,-38.147,-18.05,0.177,20.097,4.934,0.025,4.958,13.619,0.14,0.038,121.59669000000001
2012-06-05T13:59:55.80,2456084.083,-40.24,-19.201,0.148,21.04,4.954,0.024,4.979,13.699,0.126,0.023,122.40872
2012-06-05T15:59:55.80,2456084.167,-42.54,-21.141,0.127,21.4,4.966,0.025,4.991,13.756,0.118,0.01,122.69648000000001
2012-06-06T23:59:55.90,2456085.5,-39.291,-28.097,-0.313,11.195,4.987,0.022,5.01,14.1,-0.17,-0.143,112.22023
2012-06-07T05:59:56.00,2456085.75,-36.771,-30.221,-0.389,6.549,4.966,0.022,4.988,13.649,-0.231,-0.157,107.72921000000001
2012-06-07T09:59:56.00,2456085.917,-30.766,-27.681,-0.479,3.085,4.954,0.021,4.975,13.613,-0.321,-0.157,104.30609000000001
2012-06-07T11:59:56.00,2456086.0,-29.313,-27.303,-0.49,2.01,4.941,0.021,4.962,13.558,-0.329,-0.161,103.2817
2012-06-07T13:59:55.90,2456086.083,-26.868,-26.219,-0.495,0.648,4.918,0.021,4.939,13.64,-0.333,-0.162,102.00384000000001
2012-06-07T15:59:55.90,2456086.167,-26.37,-26.806,-0.476,-0.435,4.903,0.02,4.923,13.563,-0.317,-0.159,101.03921000000001
2012-06-07T17:59:55.90,2456086.25,-27.495,-28.238,-0.426,-0.744,4.865,0.02,4.885,13.343,-0.269,-0.157,100.86384000000001
2012-06-07T21:59:55.90,2456086.417,-24.57,-26.785,-0.356,-2.215,4.784,0.02,4.804,13.39,-0.197,-0.159,99.65261000000001
2012-06-07T23:59:56.00,2456086.5,-22.539,-25.474,-0.319,-2.935,4.754,0.019,4.773,13.389,-0.165,-0.155,99.06589000000001
2012-06-08T01:59:56.00,2456086.583,-22.129,-25.696,-0.329,-3.567,4.726,0.019,4.745,13.145,-0.181,-0.149,98.45573
2012-06-08T03:59:56.10,2456086.667,-23.636,-27.034,-0.312,-3.397,4.712,0.017,4.729,13.03,-0.172,-0.14,98.65191
2012-06-08T09:59:56.10,2456086.917,-20.369,-24.581,-0.362,-4.212,4.706,0.016,4.722,12.797,-0.237,-0.125,97.78196
date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_spot
