date_obs,date_jd,v_quiet,v_disc,v_phot,v_conv,f_bright,f_spot,f,Bobs,vphot_bright,vphot_dark,rv_model
2012-06-05T21:00:00,2456084.375,-49.465,-27.748,0.082,21.717,4.96,0.026,4.986,13.836,0.095,-0.014,118.5892345
2012-06-05T21:02:00,2456084.376,-48.32,-26.826,0.072,21.493,4.954,0.026,4.98,13.816,0.087,-0.015,118.34814449999999
2012-06-05T21:04:00,2456084.378,-48.329,-26.475,0.076,21.854,4.952,0.026,4.978,13.829,0.091,-0.015,118.711231
2012-06-05T21:06:00,2456084.379,-48.531,-27.167,0.073,21.364,4.95,0.026,4.976,13.845,0.089,-0.016,118.223503
2012-06-05T21:08:00,2456084.381,-47.656,-26.105,0.079,21.551,4.946,0.026,4.972,13.82,0.094,-0.015,118.4198365
2012-06-05T21:10:00,2456084.382,-48.884,-27.127,0.097,21.757,4.951,0.026,4.977,13.832,0.113,-0.016,118.6600495
2012-06-05T21:12:00,2456084.383,-48.624,-27.237,0.094,21.387,4.936,0.026,4.962,13.793,0.109,-0.014,118.2902215
2012-06-05T21:14:00,2456084.385,-48.457,-26.909,0.091,21.548,4.949,0.026,4.974,13.808,0.105,-0.015,118.442101
2012-06-05T21:16:00,2456084.386,-49.891,-28.028,0.087,21.864,4.95,0.026,4.976,13.813,0.102,-0.014,118.744167
2012-06-05T21:18:00,2456084.388,-49.859,-28.396,0.084,21.462,4.941,0.025,4.966,13.792,0.099,-0.015,118.342899
2012-06-05T21:20:00,2456084.389,-48.788,-27.231,0.081,21.557,4.94,0.025,4.965,13.803,0.095,-0.014,118.4299335
2012-06-05T21:22:00,2456084.39,-48.667,-26.946,0.076,21.721,4.942,0.025,4.967,13.8,0.091,-0.014,118.5805585
2012-06-05T21:24:00,2456084.392,-49.619,-28.086,0.073,21.533,4.949,0.025,4.974,13.816,0.089,-0.015,118.3895455
2012-06-05T21:26:00,2456084.393,-48.518,-26.922,0.07,21.596,4.942,0.026,4.967,13.801,0.085,-0.016,118.44514
2012-06-05T21:28:00,2456084.394,-49.473,-27.721,0.072,21.752,4.945,0.025,4.97,13.799,0.088,-0.016,118.602612
2012-06-05T21:30:00,2456084.396,-49.832,-28.423,0.08,21.409,4.945,0.026,4.971,13.846,0.096,-0.016,118.2824225
2012-06-05T21:32:00,2456084.397,-49.562,-27.704,0.081,21.858,4.937,0.026,4.962,13.792,0.097,-0.017,118.725666
2012-06-05T21:34:00,2456084.399,-49.265,-27.558,0.065,21.707,4.94,0.025,4.965,13.8,0.081,-0.017,118.5436925
2012-06-05T21:36:00,2456084.4,-50.732,-29.271,0.071,21.461,4.936,0.025,4.961,13.829,0.087,-0.016,118.3146035
2012-06-05T21:38:00,2456084.401,-49.042,-27.329,0.077,21.712,4.939,0.025,4.964,13.792,0.093,-0.016,118.57381699999999
2012-06-05T21:40:00,2456084.403,-49.304,-27.843,0.081,21.461,4.937,0.025,4.963,13.802,0.098,-0.017,118.3356135
2012-06-05T21:42:00,2456084.404,-48.21,-26.714,0.075,21.496,4.938,0.025,4.963,13.809,0.092,-0.017,118.357395
2012-06-05T21:44:00,2456084.406,-46.776,-25.381,0.072,21.394,4.959,0.025,4.984,13.855,0.089,-0.017,118.250877
2012-06-05T21:46:00,2456084.407,-49.13,-27.823,0.063,21.307,4.952,0.025,4.977,13.864,0.08,-0.017,118.1464905
2012-06-05T21:48:00,2456084.408,-48.834,-27.473,0.061,21.361,4.952,0.025,4.978,13.859,0.079,-0.018,118.1953435
2012-06-05T21:50:00,2456084.41,-48.196,-26.873,0.058,21.323,4.955,0.025,4.98,13.865,0.075,-0.017,118.15170549999999
2012-06-05T21:52:00,2456084.411,-48.005,-26.78,0.057,21.225,4.961,0.025,4.987,13.888,0.075,-0.018,118.0533195
